HeldoutSubjectId	HeldoutSubjectIdx	Method	TaxonIdx	TimePoint	Truth	Pred
2	0	MDSINE2	0.0	0.0	0.00040360554284945513	0.0004035863727262514
2	0	MDSINE2	0.0	1.0	0.0008001800405091146	0.0009371960845605105
2	0	MDSINE2	0.0	2.0	0.0036624801243456662	0.0013320104012370811
2	0	MDSINE2	0.0	3.0	0.005580455224536427	0.001704518273251733
2	0	MDSINE2	0.0	4.0	0.0062679719556718696	0.0020881614702259804
2	0	MDSINE2	0.0	5.0	0.007712027344584491	0.002514860158947937
2	0	MDSINE2	0.0	6.0	0.015319197674918033	0.0030035231856114625
2	0	MDSINE2	0.0	7.0	0.017587482564133665	0.0035691349591186632
2	0	MDSINE2	0.0	8.0	0.022744597128082574	0.004232267189245542
2	0	MDSINE2	0.0	9.0	0.020915881779798636	0.005858021376923953
2	0	MDSINE2	0.0	10.0	0.021495016029290683	0.008011817713217137
2	0	MDSINE2	0.0	11.0	0.036146503175300555	0.01080303991428251
2	0	MDSINE2	0.0	12.0	0.051023950017355095	0.014327770499055668
2	0	MDSINE2	0.0	13.0	0.0654096273612497	0.018664214689281103
2	0	MDSINE2	0.0	14.0	0.074123841386497	0.023993755586074517
2	0	MDSINE2	0.0	15.0	0.039491722806138246	0.048336369182057644
2	0	MDSINE2	0.0	16.0	0.042069385270846006	0.07561302758690856
2	0	MDSINE2	0.0	17.0	0.05150798696654215	0.10593002473973695
2	0	MDSINE2	0.0	18.0	0.0664087011085547	0.13780105099254697
2	0	MDSINE2	0.0	19.0	0.07305074465934364	0.1418909951883747
2	0	MDSINE2	0.0	20.0	0.0213942686191151	0.12989791838620904
2	0	MDSINE2	0.0	21.0	0.01262883448079195	0.09908557825670457
2	0	MDSINE2	0.0	22.0	0.006147128946083361	0.08569177325986548
2	0	MDSINE2	0.0	23.0	0.008131360822578954	0.07550390406824455
2	0	MDSINE2	0.0	24.0	0.007366181044360779	0.06260973904974748
2	0	MDSINE2	0.0	25.0	0.009548158196806844	0.05460043346315917
2	0	MDSINE2	0.0	26.0	0.0077739414094770065	0.04498412644124317
2	0	MDSINE2	0.0	27.0	0.005030542579949694	0.04832639394457243
2	0	MDSINE2	0.0	28.0	0.05779395959906126	0.06678654030722718
2	0	MDSINE2	0.0	29.0	0.059158598701349194	0.07830890696404634
2	0	MDSINE2	0.0	30.0	0.10065557686304244	0.09181207853037078
2	0	MDSINE2	0.0	31.0	0.1071504080510804	0.10105409666765577
2	0	MDSINE2	0.0	32.0	0.09242947931764968	0.11209446806194218
2	0	MDSINE2	0.0	33.0	0.08643906297754525	0.12795696273728815
2	0	MDSINE2	0.0	34.0	0.033051196584397584	0.13670592713854582
2	0	MDSINE2	0.0	35.0	0.08094986394158298	0.14580747598755608
2	0	MDSINE2	0.0	36.0	0.10157909502625145	0.15796926870820796
