"","m2_T1","m2_T2","m2_T3","m2_T4","m2_T5","m2_T6","m2_T7","m2_T8","m2_T9","m2_T10","m2_T11","m2_T12","m2_T13","m2_T14","m2_T15","m2_T16","m2_T17","m2_T18","m2_T19","m2_T20","m2_T21","m2_T22","m2_T23","m2_T24","m2_T25","m2_T26","m2_T27","m2_T28","m2_T29","m2_T30","m2_T31","m2_T32","m2_T33","m2_T34","m2_T35","m2_T36","m2_T37","m2_T38","m2_T39","m2_T40","m2_T41","m2_T42","m2_T43","m2_T44","m2_T45","m2_T46","m2_T47","m2_T48","m2_T49","m2_T50","m2_T51","m2_T52","m2_T53","m2_T54","m2_T55","m2_T56","m2_T57","m2_T58","m2_T59","m2_T60","m2_T61","m2_T62","m2_T63","m2_T64"
"ASV_1",-7.5937172494022,-5.58267693148703,-5.05647423439575,-4.17214194365861,-3.77904063913739,-3.86247685186222,-3.83529273030114,-3.31741236646406,-2.97350220238792,-2.72555816452732,-2.60066986793212,-2.8101583128269,-3.01964675772167,-3.22913520261645,-3.19759799567551,-3.16606078873457,-3.06506981051702,-2.96407883229947,-2.87952672024696,-2.79497460819446,-2.71042249614196,-3.83996895524129,-5.07563328940258,-4.89737164960604,-4.64098824228194,-4.70872433735448,-4.77646043242703,-4.84419652749958,-2.84914222455936,-2.29505772620796,-2.38022798991038,-3.40667646694145,-2.51269070949917,-2.3993121309268,-2.28593355235444,-2.1831179298706,-1.40184040087991,-1.61839072121378,-2.17591137696937,-2.37349877052702,-2.57108616408466,-2.76867355764231,-2.00647419035556,-1.35330701328478,-1.03631597383949,-0.985019333841278,-0.969982636533634,-0.792964964035257,-0.615947291536879,-0.438929619038501,-0.635307750689591,-0.636946076214514,-1.41119880935316,-1.19948660734761,-1.42434794372529,-1.64920928010297,-1.87407061648065,-1.90255243121828,-1.39665619663425,-1.34675571669233,-1.34147399045838,-1.19018363060582,-1.44549071322767,-1.28453569961126
"ASV_2",-4.72792706000038,-4.3130885815952,-1.70587880621179,-1.79461393807932,-1.91345910757814,-2.26599554378415,-2.25312890277454,-2.53096274210348,-2.35255541419928,-1.96179995894647,-2.01665002089633,-1.98599863986448,-1.95534725883263,-1.92469587780078,-2.28329669514883,-2.64189751249688,-2.42192797117725,-2.20195842985761,-2.10178428953999,-2.00161014922236,-1.90143600890474,-0.883813291175793,-0.560202169716476,-0.893694693173931,-0.593550406075529,-0.7605010768215,-0.927451747567471,-1.09440241831344,-1.51421753314164,-1.77858111977442,-1.50997208613062,-2.97929929485445,-1.64765753877602,-1.69182503226441,-1.73599252575279,-2.52863923653759,-3.51973317541033,-5.09616331835866,-6.8785115176354,-7.47603793622326,-8.07356435481112,-8.67109077339899,-8.69468633561304,-8.05742260083649,-5.31682803912453,-2.84324477110782,-2.47984699783337,-2.72096612071042,-2.96208524358746,-3.20320436646451,-3.0709835095715,-5.83162789257367,-7.90348867612034,-8.47622925156203,-8.72093295836675,-8.96563666517147,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.01672110022399,-8.9634907935958,-7.79445691659972,-8.96213597604829
"ASV_3",-3.45094132355195,-1.91555393104478,-1.57890887975646,-1.37727338342761,-1.25474295225736,-1.20613178584303,-1.53298143785004,-1.08660213831579,-1.09785867048552,-1.24088825339623,-1.71103236396969,-1.6038783374344,-1.49672431089911,-1.38957028436382,-1.20869364274273,-1.02781700112164,-1.04007472168508,-1.05233244224852,-1.14052019564763,-1.22870794904674,-1.31689570244585,-2.95913997684086,-4.37900062564055,-6.1962610431205,-7.63627681061255,-7.85783995985957,-8.07940310910659,-8.30096625835361,-6.82433954257946,-6.59220294038201,-6.66818807752173,-5.35879607750891,-5.92771846413983,-5.79040242644056,-5.65308638874129,-5.06980225085698,-5.29956394995905,-7.1397243121982,-9.21034037197618,-8.59364341958253,-7.97694646718888,-7.36024951479523,-6.66910219864114,-5.22170067465324,-4.25825628623685,-4.09415679829931,-4.89637657731206,-6.33436450886676,-7.77235244042147,-9.21034037197618,-9.21034037197618,-9.21034037197618,-7.79714461100361,-8.24509049567644,-8.56684045444302,-8.8885904132096,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618
"ASV_4",-2.8146896932627,-1.74354910972338,-2.44134293075308,-3.40302388011259,-4.21525082335646,-5.14340235216477,-6.08697354491645,-5.64506565068018,-6.17740399347468,-6.03006539254902,-5.80687313196794,-5.74471914362306,-5.68256515527817,-5.62041116693329,-5.43505324238351,-5.24969531783374,-5.22507554443786,-5.20045577104198,-5.27793927393946,-5.35542277683694,-5.43290627973442,-6.82700790339958,-7.18130733570425,-7.58260629925604,-7.92696883549578,-7.80287615422028,-7.67878347294478,-7.55469079166928,-4.03721480085179,-2.5477652092621,-2.49862923013053,-1.97632222632194,-2.33359924339877,-2.17324590590252,-2.01289256840627,-1.75342414624313,-1.95727208411984,-2.49104495347943,-2.80229396660442,-2.63691787823504,-2.47154178986566,-2.30616570149628,-2.61645810206841,-2.45002860172351,-2.669831402145,-2.75412154227626,-2.59827269487197,-3.3608550714629,-4.12343744805383,-4.88601982464476,-3.42242835186621,-4.86982145353183,-5.37320549236805,-5.44307649491495,-5.87435522756742,-6.30563396021989,-6.73691269287236,-6.13886675978601,-6.82019079092699,-6.05955127501153,-6.20331848080527,-4.49797900297726,-4.04140877970348,-3.31979064916232
"ASV_5",-4.23393327864923,-2.83836919747268,-2.97745497653161,-3.37963333557733,-4.37854454005156,-4.80124354796741,-4.74024027233717,-4.67491208692192,-4.56534864369308,-4.26373513204087,-4.36070862127953,-4.49396729732348,-4.62722597336744,-4.76048464941139,-4.58943234080468,-4.41838003219797,-4.25835314248962,-4.09832625278127,-3.99187305265772,-3.88541985253418,-3.77896665241063,-3.84088505789712,-5.50557860635063,-4.60755913426941,-4.81585686350513,-4.74801535433857,-4.680173845172,-4.61233233600544,-3.19405146132161,-3.85929207704609,-4.20695194679693,-5.13512763852873,-4.07600423526617,-4.04738782983519,-4.0187714244042,-3.8602927155198,-5.4227615240252,-5.12245378591804,-3.17463546080007,-3.50534790132866,-3.83606034185726,-4.16677278238586,-3.68448428693918,-3.49901457385685,-3.48168564904545,-3.70676680095584,-3.85899608564383,-3.58075565409836,-3.3025152225529,-3.02427479100743,-3.15352062894264,-4.16071481604587,-5.01317364543209,-5.38824865412104,-5.07066308448053,-4.75307751484002,-4.43549194519951,-3.15789236806175,-2.76711698991364,-2.64637434030264,-2.6185773220321,-2.78506556334636,-3.99585408116298,-4.11320005198778
"ASV_6",-2.60787807818213,-2.02655696978376,-2.11919384154633,-2.04221897772931,-1.92440834662084,-1.93524235300893,-2.02405762769649,-2.21184816526043,-2.36299496702431,-2.11231077859091,-1.84672029244243,-1.92479921519903,-2.00287813795563,-2.08095706071223,-2.31713331672151,-2.55330957273079,-2.54470249350544,-2.53609541428009,-2.43756071601302,-2.33902601774595,-2.24049131947888,-3.88875542005759,-5.08024198964545,-5.36373060855019,-5.38072021452024,-5.38172330327045,-5.38272639202066,-5.38372948077088,-3.66827052659311,-3.88935388228676,-3.93638032005424,-4.78676499295917,-3.63248753752572,-3.65492931050156,-3.6773710834774,-3.73932590008506,-4.63528226235206,-7.48404349078919,-7.82557957511612,-7.57363248753057,-7.32168539994503,-7.06973831235948,-7.39016244590468,-5.82060423950774,-4.53132113955448,-4.07306852472191,-3.92753058342345,-5.53425207644611,-7.14097356946876,-8.74769506249141,-9.21034037197618,-8.53550645941906,-8.86353447048131,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618
"ASV_7",-8.5701187612766,-6.59406288250836,-3.5727080323573,-3.4208234697869,-2.79486550008249,-2.59149674716964,-2.35742090893448,-2.30506301772664,-2.02617800355809,-2.29313114421348,-2.49755252083954,-2.42359070198789,-2.34962888313624,-2.27566706428459,-2.43183510452309,-2.5880031447616,-2.45125685476188,-2.31451056476216,-2.38289090246519,-2.45127124016822,-2.51965157787124,-4.29466251457293,-5.15204958611363,-5.35214738248519,-5.26661608405025,-5.40117851206837,-5.53574094008649,-5.67030336810461,-2.83896520626356,-3.24677524448995,-3.05282586490307,-3.01378107323964,-2.82944531642816,-2.8263163356631,-2.82318735489803,-1.92477077687895,-4.67116790449968,-6.71578008244505,-5.17950699827542,-5.31385639460168,-5.44820579092794,-5.58255518725421,-6.18663934954947,-6.30129025672534,-6.4702822814991,-5.54097355182566,-2.63039209739496,-2.79623755804479,-2.96208301869461,-3.12792847934444,-3.0400206497138,-2.88352614488584,-2.25044579210549,-1.99260890179982,-1.87977817825593,-1.76694745471205,-1.65411673116816,-1.70976074105372,-1.85684795675146,-1.88904383721795,-2.03898729380617,-2.51103576571276,-1.79639641229951,-2.18323825929657
"ASV_8",-2.54708271326786,-4.7596779171458,-3.15092107833886,-2.28480704368972,-2.23104830411526,-2.06953198611541,-1.81119542066465,-2.29748421321836,-5.13837294415035,-3.94945171818196,-3.10312010837946,-2.78677246921065,-2.47042483004183,-2.15407719087301,-2.1536064191985,-2.15313564752399,-2.81369507976998,-3.47425451201597,-3.25258008836143,-3.03090566470689,-2.80923124105235,-2.59777948813514,-2.88963485083871,-2.78189014314801,-3.76225738246256,-3.7995222276029,-3.83678707274324,-3.87405191788357,-2.63082620948197,-2.22374353591719,-2.05366717386973,-1.64761484558366,-2.95730394205397,-2.97995859788585,-3.00261325371773,-3.77690443492068,-5.64174102539404,-6.35884315847309,-6.38215228086004,-5.42053473560173,-4.45891719034342,-3.49729964508512,-5.95358555018481,-5.36538343463576,-6.26288680310152,-5.90904150115411,-5.82700592310667,-6.13250969427068,-6.43801346543469,-6.74351723659871,-6.99841619810868,-5.76798845659961,-5.5222872343781,-2.9281517101863,-2.62036751730762,-2.31258332442895,-2.00479913155028,-2.54471711841578,-2.8756716892936,-3.07827794336682,-3.44952944081809,-3.46892467511714,-3.79135973957793,-3.72894390377539
"ASV_9",-1.16045765141777,-2.32548162552485,-4.42640058812898,-5.4946335103519,-6.48803406017016,-7.38635698717337,-7.97122176121262,-8.87429045675924,-7.71272447066462,-4.8571008549515,-4.69405324962065,-4.69940888678527,-4.70476452394989,-4.7101201611145,-6.96023026654534,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.00142601830363,-8.79251166463109,-8.58359731095854,-8.19099693418519,-7.78488799729039,-8.61234787504423,-8.2026777767935,-7.80433570770142,-7.40599363860934,-7.00765156951726,-8.37050248674468,-8.03790366126736,-7.62062971895712,-9.21034037197618,-9.21034037197618,-9.11901596626067,-9.02769156054515,-5.47977715131322,-1.77311428784688,-1.0411369056602,-1.01803947095169,-1.13014455694727,-1.24224964294285,-1.35435472893843,-1.9270807712604,-2.69945880539333,-2.61670217475969,-2.61358458351442,-4.31270499766286,-5.34257796964539,-6.37245094162793,-7.40232391361047,-8.0336375396143,-4.14113485979469,-3.41520839838324,-6.63081870214153,-7.04054960180425,-7.45028050146696,-7.86001140112967,-9.21034037197618,-9.21034037197618,-9.21034037197618,-8.38537367146481,-8.76567178080537,-9.21034037197618,-8.76344943996979
"ASV_10",-8.18293683208723,-6.10753777381523,-5.24582712151127,-5.76506055022369,-5.26525217955353,-4.97015840621166,-4.73424275291865,-4.68351415360979,-4.57566478543405,-4.48754758098972,-4.52361421003468,-4.73893820605018,-4.95426220206568,-5.16958619808119,-5.08326644771395,-4.99694669734671,-4.6887852588244,-4.38062382030209,-4.44516556053813,-4.50970730077416,-4.57424904101019,-4.10947882132287,-3.97543224171793,-4.29734251212169,-4.52375611714742,-4.39011371166723,-4.25647130618704,-4.12282890070685,-3.74691339061357,-4.18818448591684,-4.38693493303196,-5.28962821285296,-4.22629739121666,-4.23174410367692,-4.23719081613718,-4.16260302171851,-4.13569167321452,-3.98493488618013,-3.21383587827859,-2.63734257628131,-2.06084927428402,-1.48435597228674,-1.04913180844776,-1.24485831834738,-1.58654624518838,-1.70602499532453,-2.39877610374022,-3.35232277076047,-4.30586943778072,-5.25941610480097,-2.65181737066905,-1.75809902481156,-1.34588934893571,-2.41685853783135,-2.74742042236692,-3.07798230690248,-3.40854419143805,-4.04738432562894,-4.18575925371547,-4.04506559298772,-4.2032063971432,-4.31883659764885,-4.73330497861215,-4.24955304721488
