"","m2_T1","m2_T2","m2_T3","m2_T4","m2_T5","m2_T6","m2_T7","m2_T8","m2_T9","m2_T10","m2_T11","m2_T12","m2_T13","m2_T14","m2_T15","m2_T16","m2_T17","m2_T18","m2_T19","m2_T20","m2_T21","m2_T22","m2_T23","m2_T24","m2_T25","m2_T26","m2_T27","m2_T28","m2_T29","m2_T30","m2_T31","m2_T32","m2_T33","m2_T34","m2_T35","m2_T36","m2_T37","m2_T38","m2_T39","m2_T40","m2_T41","m2_T42","m2_T43","m2_T44","m2_T45","m2_T46","m2_T47","m2_T48","m2_T49","m2_T50","m2_T51","m2_T52","m2_T53","m2_T54","m2_T55","m2_T56","m2_T57","m2_T58","m2_T59","m2_T60","m2_T61","m2_T62","m2_T63","m2_T64"
"ASV_1",-3.29790949854891,-2.4245257855934,-2.19599885788405,-1.81193822384804,-1.64121649646551,-1.6774523832428,-1.66564646925344,-1.44073388495295,-1.29137559842424,-1.18369487096057,-1.12945657289498,-1.22043624853527,-1.31141592417557,-1.40239559981586,-1.38869916486677,-1.37500272991768,-1.33114290535579,-1.28728308079389,-1.25056256509623,-1.21384204939856,-1.17712153370089,-1.66767732794109,-2.20431952975199,-2.12690148325333,-2.01555558420092,-2.0449729965166,-2.07439040883228,-2.10380782114796,-1.23736674628368,-0.996730906141542,-1.03371988168975,-1.47950079122234,-1.09124770986506,-1.04200801882504,-0.99276832778503,-0.948116070286852,-0.608811550611188,-0.70285815978657,-0.944986304128302,-1.03079741884404,-1.11660853355977,-1.2024196482755,-0.871400668952716,-0.587733768190549,-0.450066308946685,-0.427788461255284,-0.421258106588525,-0.344380308223122,-0.26750250985772,-0.190624711492318,-0.275910650434856,-0.276622166169892,-0.612875855770517,-0.520930414687918,-0.618586452270136,-0.716242489852354,-0.813898527434572,-0.826268022409716,-0.606560079314237,-0.584888576231138,-0.58259475167281,-0.516890183223686,-0.627768640397174,-0.557866766148902
"ASV_2",-2.05331263299923,-1.87315057094672,-0.740853752333487,-0.779390930454511,-0.831004731768706,-0.984109360682815,-0.978521449491712,-1.09918315279826,-1.02170183475837,-0.851998896768477,-0.875819976005356,-0.862508250360508,-0.84919652471566,-0.835884799070812,-0.991623155251067,-1.14736151143132,-1.05182995344942,-0.956298395467508,-0.912793319098163,-0.869288242728817,-0.825783166359471,-0.383835235390399,-0.243292711058095,-0.388126673751658,-0.257775666090036,-0.330281421145058,-0.40278717620008,-0.475292931255102,-0.65761631904457,-0.772427965935336,-0.655772544834468,-1.29389324369354,-0.71556857715672,-0.734750275858222,-0.753931974559724,-1.09817406715233,-1.52860069585251,-2.21323560804093,-2.98729959581702,-3.24680202220114,-3.50630444858526,-3.76580687496938,-3.77605429743635,-3.49929417390584,-2.30906907862027,-1.2348055147924,-1.07698386712338,-1.18170057167023,-1.28641727621709,-1.39113398076394,-1.33371119222278,-2.53264381425783,-3.4324415198239,-3.68117959130032,-3.78745306086688,-3.89372653043344,-4,-4,-4,-4,-3.9159122186879,-3.89279459024926,-3.38508962831189,-3.89220620046439
"ASV_3",-1.49872477419052,-0.831914502040829,-0.685711413906274,-0.598142230494831,-0.544927940372367,-0.523816379039742,-0.665765379318387,-0.47190531269482,-0.476793962501502,-0.538910921108547,-0.743091914029911,-0.69655551159192,-0.650019109153929,-0.603482706715938,-0.524928979354707,-0.446375251993476,-0.451698712394891,-0.457022172796305,-0.495321627468983,-0.53362108214166,-0.571920536814337,-1.2851381631213,-1.90177580796658,-2.69100197945932,-3.3163928811348,-3.41261653424588,-3.50884018735697,-3.60506384046806,-2.96377300597642,-2.8629573605943,-2.89595728636074,-2.32729556610691,-2.57437541925195,-2.51473982180233,-2.45510422435272,-2.20178714188787,-2.30157137996062,-3.10074287109817,-4,-3.73217191656888,-3.46434383313777,-3.19651574970665,-2.89635428411869,-2.26775578915239,-1.8493372076425,-1.77806970554808,-2.12646932884696,-2.75097955256464,-3.37548977628232,-4,-4,-4,-3.38625687916054,-3.58079730506523,-3.72053153671015,-3.86026576835508,-4,-4,-4,-4,-4,-4,-4,-4
"ASV_4",-1.22240420205395,-0.757213757280189,-1.06026176325957,-1.47791449291789,-1.83066017242185,-2.23375125975337,-2.64353902204829,-2.45162086207199,-2.68281246685316,-2.6188241254998,-2.52189295832593,-2.49489982415947,-2.46790668999301,-2.44091355582654,-2.36041363201754,-2.27991370820853,-2.26922147647699,-2.25852924474545,-2.29217990249236,-2.32583056023927,-2.35948121798618,-2.96493186035633,-3.1188021487477,-3.29308407421174,-3.44263882347486,-3.38874605675233,-3.33485329002981,-3.28096052330728,-1.75334011026807,-1.10648037156761,-1.08514088696786,-0.85830583735437,-1.01346927438169,-0.943828704752298,-0.874188135122905,-0.761502431149313,-0.850032465716524,-1.08184707746906,-1.21702080636708,-1.14519888374951,-1.07337696113194,-1.00155503851438,-1.13631331585937,-1.06403390223366,-1.1594930455636,-1.19609978830145,-1.12841549386279,-1.45960081201289,-1.790786130163,-2.12197144831311,-1.48634174792474,-2.11493658512295,-2.33355349546769,-2.36389808631886,-2.55120006007205,-2.73850203382525,-2.92580400757844,-2.66607595891436,-2.96197122602697,-2.63162968154732,-2.69406698570219,-1.95344746070971,-1.75516153214058,-1.44176676000521
"ASV_5",-1.8387738596639,-1.23268808006655,-1.29309226642305,-1.46775610849751,-1.901577732512,-2.08515357915584,-2.0586601931716,-2.030288522733,-1.9827057239204,-1.85171664014238,-1.89383169140964,-1.95170519908126,-2.00957870675288,-2.0674522144245,-1.9931651406798,-1.91887806693509,-1.84937927177861,-1.77988047662214,-1.73364843922754,-1.68741640183294,-1.64118436443834,-1.66807518626937,-2.39104240842268,-2.00103750705613,-2.09150006145618,-2.06203686838115,-2.03257367530612,-2.0031104822311,-1.38715892456699,-1.67606925311405,-1.82705601612605,-2.23015759728191,-1.77018614759038,-1.7577582006198,-1.74533025364922,-1.67650382488157,-2.35507540656141,-2.22465341302863,-1.37872666267986,-1.52235325069818,-1.66597983871651,-1.80960642673484,-1.60015119447692,-1.51960272152509,-1.51207686510218,-1.60982836735729,-1.67594070568136,-1.55510242161879,-1.43426413755621,-1.31342585349364,-1.36955660771786,-1.80697548538183,-2.17719365103396,-2.34008665760739,-2.20216099718042,-2.06423533675344,-1.92630967632647,-1.37145522989361,-1.20174363950023,-1.14930577304379,-1.13723368139553,-1.2095386059001,-1.73537737793967,-1.78634008554246
"ASV_6",-1.13258705883095,-0.880122509239661,-0.920354191466925,-0.886924432865941,-0.835759925865991,-0.840465075057243,-0.87903705876277,-0.960593452980436,-1.02623567494381,-0.917364915206793,-0.802020432626507,-0.835929677932649,-0.869838923238791,-0.903748168544933,-1.00631821328633,-1.10888825802773,-1.10515025101486,-1.10141224400198,-1.05861916826859,-1.0158260925352,-0.973033016801813,-1.68886502040237,-2.20632106283622,-2.32943860570892,-2.33681709783142,-2.3372527337405,-2.33768836964957,-2.33812400555865,-1.59310964782772,-1.68912492924613,-1.70954825167211,-2.07886562260983,-1.57756929312975,-1.58731563129728,-1.59706196946482,-1.62396860444485,-2.01307750860352,-3.25027879037369,-3.39860602716773,-3.28918679729773,-3.17976756742773,-3.07034833755773,-3.20950677062504,-2.52785630256089,-1.96792776664007,-1.76891118470054,-1.70570485988707,-2.40349513826216,-3.10128541663725,-3.79907569501234,-4,-3.70692335557526,-3.84938411068929,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"ASV_7",-3.72195528727796,-2.86376512319643,-1.5516073839042,-1.48564475649358,-1.2137946643476,-1.125472737166,-1.02381489227359,-1.00107614903794,-0.879957926299026,-0.995894202212406,-1.08467327806417,-1.05255206826537,-1.02043085846657,-0.988309648667769,-1.056132566793,-1.12395548491822,-1.0645673257506,-1.00517916658298,-1.03487636991809,-1.0645735732532,-1.0942707765883,-1.86514823171577,-2.23750670574108,-2.32440807454625,-2.28726230360594,-2.34570202356571,-2.40414174352548,-2.46258146348526,-1.23294692339559,-1.41005657266207,-1.32582542733892,-1.30886848977243,-1.22881248777175,-1.2274535886915,-1.22609468961125,-0.835917327327165,-2.02866244496779,-2.91662623148165,-2.24943130833029,-2.30777850980182,-2.36612571127335,-2.42447291274488,-2.68682333103486,-2.73661558736654,-2.81000789121144,-2.40641423792975,-1.14236477314055,-1.21439054154948,-1.2864163099584,-1.35844207836732,-1.32026419304264,-1.25229949314768,-0.977356189333806,-0.86537905064296,-0.816377290018699,-0.767375529394437,-0.718373768770176,-0.742539655214444,-0.806418821350487,-0.820401314577102,-0.885520930370866,-1.09052897691076,-0.780165049172478,-0.948168328692563
"ASV_8",-1.10618396732339,-2.06710185505318,-1.36842763723521,-0.992279091288128,-0.968931967336866,-0.898786321692199,-0.786592176843099,-0.997784716060567,-2.23156701560546,-1.71522508774974,-1.34766793975222,-1.21027990569808,-1.07289187164394,-0.935503837589806,-0.93529938404933,-0.935094930508855,-1.22197224690243,-1.50884956329601,-1.41257758432376,-1.31630560535151,-1.22003362637926,-1.12820129689855,-1.25495247043458,-1.20815953843023,-1.63392762070326,-1.65011153731669,-1.66629545393012,-1.68247937054355,-1.14255330562447,-0.965759546816862,-0.891896321277471,-0.715550035738861,-1.28434078334477,-1.29417957536198,-1.30401836737918,-1.64028875476197,-2.45017699565583,-2.76161049501311,-2.77173351824377,-2.35410832463673,-1.9364831310297,-1.51885793742267,-2.5856093519842,-2.33015641895743,-2.71993717937169,-2.56626411728854,-2.53063651842279,-2.66331512043995,-2.79599372245712,-2.92867232447428,-3.03937353690093,-2.50500555838286,-2.39829887337518,-1.27168012990948,-1.13801115332522,-1.00434217674097,-0.870673200156716,-1.10515660253272,-1.24888834642562,-1.3368791245687,-1.49811160131011,-1.5065348445414,-1.64656661380885,-1.61945976073642
"ASV_9",-0.503980354493145,-1.00994383773285,-1.92236135011772,-2.38628901362652,-2.81771739073225,-3.20785408089692,-3.46185762492176,-3.85405537617723,-3.34959367804982,-2.109412099353,-2.03860142407028,-2.04092734773795,-2.04325327140562,-2.04557919507328,-3.02278959753664,-4,-4,-4,-3.90926964900963,-3.81853929801926,-3.72780894702888,-3.55730476980308,-3.38093389945807,-3.7402951583629,-3.56237769529185,-3.38937993277524,-3.21638217025862,-3.04338440774201,-3.63526304075066,-3.49081720615836,-3.309597435571,-4,-4,-3.96033831453466,-3.92067662906931,-2.37983697887485,-0.770053750995715,-0.452160013034053,-0.442128924594023,-0.490815544835193,-0.539502165076363,-0.588188785317533,-0.836920545140254,-1.17236006330747,-1.13641931528237,-1.13506536260772,-1.87298398256156,-2.32025213135487,-2.76752028014819,-3.21478842894151,-3.48896445306531,-1.79847201842603,-1.48320616196748,-2.87972797284095,-3.05767184162972,-3.23561571041849,-3.41355957920726,-4,-4,-4,-3.64172151421398,-3.80688288457882,-4,-3.80591773421702
"ASV_10",-3.55380431193836,-2.65246995318362,-2.27823377189076,-2.50373398480027,-2.28666996740917,-2.15851237000278,-2.05605550358303,-2.03402435282851,-1.98718596735304,-1.94891715170212,-1.9645806896772,-2.05809471296809,-2.15160873625898,-2.24512275954987,-2.20763456828611,-2.17014637702236,-2.03631356473675,-1.90248075245114,-1.93051087408808,-1.95854099572503,-1.98657111736197,-1.7847239755988,-1.72650828575837,-1.86631213986271,-1.96464231915321,-1.90660215990488,-1.84856200065656,-1.79052184140824,-1.62726380971288,-1.81890541142649,-1.90522163388439,-2.2972563441618,-1.8354576358875,-1.83782311305351,-1.84018859021951,-1.80779552268615,-1.79610807253029,-1.7306352318118,-1.39575118767908,-1.14538332776748,-0.895015467855873,-0.644647607944267,-0.455632155198041,-0.540635098409627,-0.689028279569638,-0.740917241458465,-1.04177522517576,-1.45589528089989,-1.87001533662403,-2.28413539234816,-1.15166965109676,-0.76353270511515,-0.584512317495137,-1.04962832652092,-1.19318952890225,-1.33675073128359,-1.48031193366493,-1.75775667876236,-1.8178521464641,-1.75674966597127,-1.82542934457974,-1.87564690260071,-2.05564823337644,-1.84555743896057
