"","m5_T1","m5_T2","m5_T3","m5_T4","m5_T5","m5_T6","m5_T7","m5_T8","m5_T9","m5_T10","m5_T11","m5_T12","m5_T13","m5_T14","m5_T15","m5_T16","m5_T17","m5_T18","m5_T19","m5_T20","m5_T21","m5_T22","m5_T23","m5_T24","m5_T25","m5_T26","m5_T27","m5_T28","m5_T29","m5_T30","m5_T31","m5_T32","m5_T33","m5_T34","m5_T35","m5_T36","m5_T37","m5_T38","m5_T39","m5_T40","m5_T41","m5_T42","m5_T43","m5_T44","m5_T45","m5_T46","m5_T47","m5_T48","m5_T49","m5_T50","m5_T51","m5_T52","m5_T53","m5_T54","m5_T55","m5_T56","m5_T57","m5_T58","m5_T59","m5_T60","m5_T61","m5_T62","m5_T63","m5_T64"
"ASV_1",-6.54900028070853,-4.65093204260395,-4.50517524768174,-3.91989351873249,-3.55135736950043,-3.63648854351019,-3.61989690946449,-3.4132333626046,-2.87615782717677,-2.79499306440253,-2.68418134087304,-2.70681800935842,-2.7294546778438,-2.75209134632918,-2.53188385191997,-2.31167635751077,-2.22187312366065,-2.13206988981053,-2.17210063706371,-2.21213138431689,-2.25216213157007,-3.75336183887649,-9.69078093805617,-4.76233519290486,-5.0986691389519,-4.83992074341676,-4.58117234788162,-4.32242395234648,-2.80936432399247,-2.02452780855045,-2.0190191156643,-0.939713103177165,-0.811998361064028,-0.772174246801012,-0.732350132537995,-2.23926845127303,-2.91217289333384,-2.29064109444821,-3.10997244792076,-3.16051494333545,-3.21105743875014,-3.26159993416482,-2.7764579349966,-1.75839665854126,-1.75747225739379,-1.23322883924056,-1.13555135499608,-1.15068572692381,-1.16582009885155,-1.18095447077928,-1.34087532268152,-1.40188884800376,-1.33101674312637,-1.49262782478877,-1.66536092340776,-1.83809402202675,-2.01082712064574,-1.34009043554987,-1.26916033207785,-1.0513440104431,-1.2455779728893,-1.64424103769714,-2.13398838532759,-2.18222907520837
"ASV_2",-6.82547087541041,-2.23527665171525,-1.5243104685532,-2.01610580867426,-1.85540900791992,-2.87073607570361,-1.76113707334292,-2.15082958639066,-1.87182505283173,-1.58282611572794,-1.75363992642979,-1.6614744611047,-1.5693089957796,-1.4771435304545,-1.75987217627202,-2.04260082208954,-1.87581063002083,-1.70902043795211,-1.75395059088538,-1.79888074381864,-1.8438108967519,-0.733476395347489,-7.76387167981449,-0.814771780966332,-0.892690374598632,-0.809920491078495,-0.727150607558358,-0.644380724038221,-1.41091052443986,-2.32678195418849,-1.71453408279313,-2.66513267623372,-3.07557958266964,-2.88172613395189,-2.68787268523415,-2.87558741740791,-3.94037634755105,-1.99861268032343,-2.64647755386962,-4.12384125607722,-5.60120495828483,-7.07856866049243,-8.5867358747668,-8.90775536310217,-1.6874753543683,-2.86591699720267,-2.26575372614528,-2.52492012347564,-2.784086520806,-3.04325291813636,-3.82474830179447,-4.92985915709039,-6.93592704616763,-9.75431901278015,-9.08426979363528,-8.4142205744904,-7.74417135534553,-10.155480067747,-9.39626556088162,-9.29535586272659,-3.27822754878446,-2.46800456419071,-1.28954913604052,-2.95480607527018
"ASV_3",-3.4807423225091,-2.24186392816952,-1.83012675656448,-1.41166987704329,-1.5475615598332,-1.44450834796243,-1.28005418022246,-1.5747517684363,-1.99276697452386,-2.46141777276704,-3.54232997734642,-3.97934381529545,-4.41635765324449,-4.85337149119352,-5.16592846409064,-5.47848543698776,-5.54117285060703,-5.6038602642263,-5.84626738562764,-6.08867450702898,-6.33108162843032,-7.59758177135393,-7.57869656101714,-9.33467378877048,-8.66314466144338,-8.64605998425465,-8.62897530706593,-8.6118906298772,-6.97843849543562,-4.72191381591672,-4.64305697788929,-6.71741823157835,-7.94555262274968,-9.72923904385995,-11.5129254649702,-9.07619581609215,-11.5129254649702,-9.72588646597771,-11.5129254649702,-10.3864182179988,-9.25991097102732,-8.13340372405586,-11.5129254649702,-5.76245605342327,-8.39668132385328,-5.58355288146551,-4.47449276275207,-4.44707612940684,-4.41965949606161,-4.39224286271638,-4.55708378523356,-4.5461334881898,-6.02582687037213,-11.5129254649702,-10.4159726027902,-9.31901974061016,-8.22206687843013,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702
"ASV_4",-2.52956828307457,-1.76915359689983,-2.40178845913269,-2.95387131212613,-3.62103122940857,-3.42551810787595,-4.77352699509157,-4.47826183098564,-3.4452648246978,-2.74342783484518,-2.09916685875051,-2.05450946439018,-2.00985207002984,-1.96519467566951,-1.75930472977001,-1.55341478387051,-1.63873961166653,-1.72406443946254,-1.72897842407107,-1.73389240867959,-1.73880639328812,-3.51653496502765,-3.27154613098568,-6.21770477017996,-6.72843389130865,-6.96800726493106,-7.20758063855347,-7.44715401217589,-4.04421910693644,-2.10951430383556,-2.27885238643319,-3.91051145073197,-5.08426073414443,-5.5446574302075,-6.00505412627057,-5.79025918435319,-4.68126905098778,-5.11445738275133,-3.92020951859058,-3.58632365845417,-3.25243779831775,-2.91855193818134,-3.43081797034543,-3.01867978587419,-3.37470912850151,-3.06298954329988,-2.63651778474702,-2.45888189423077,-2.28124600371452,-2.10361011319827,-2.05140698314559,-1.901265205125,-3.65534733506942,-2.79962313747955,-2.82444100656863,-2.84925887565771,-2.87407674474679,-2.8741324539726,-2.65335802329298,-2.36823166657822,-2.05297609328952,-2.05446029809901,-1.97466136213333,-1.68217129783493
"ASV_5",-3.81733423776706,-3.26704737852043,-3.26142954955089,-3.62771574384807,-4.09798433852501,-4.78300538135531,-5.04658498865874,-5.14493071417211,-5.66221488154111,-5.40374911929932,-5.24229527485396,-5.26652405909411,-5.29075284333425,-5.3149816275744,-5.29303087901728,-5.27108013046017,-5.51244207075426,-5.75380401104835,-5.4747362372716,-5.19566846349485,-4.9166006897181,-5.55765867163102,-11.5129254649702,-4.0004119949467,-3.33013541302198,-3.56771775908343,-3.80530010514487,-4.04288245120632,-3.05342773376493,-3.59730873968202,-3.52679449848618,-1.7468703953397,-1.66664463158166,-1.88430881794929,-2.10197300431691,-0.707611517368936,-0.555927826787457,-0.996295308621524,-0.859142284191352,-0.986312359963837,-1.11348243573632,-1.24065251150881,-1.02496842408635,-0.999551445222422,-1.41554895954878,-1.563848336767,-2.24559251524657,-2.57870467062077,-2.91181682599496,-3.24492898136916,-4.82354270264183,-5.13277565006527,-6.06450276314263,-3.31839992072392,-2.98558842263798,-2.65277692455205,-2.31996542646612,-1.77717306832218,-1.8513045401049,-2.82359516989525,-3.6170784604116,-4.85964504358316,-5.22709170636961,-5.02154804283813
"ASV_6",-2.60515107317118,-2.2063469610211,-2.24897611395594,-1.81751147713839,-1.67894792458363,-1.79714663477991,-2.19415079585737,-2.21317089087791,-2.46276342546768,-2.63007356617178,-2.32919987891183,-2.62495595401848,-2.92071202912513,-3.21646810423177,-3.44830571914813,-3.6801433340645,-4.09046940893177,-4.50079548379905,-4.12683386048401,-3.75287223716898,-3.37891061385394,-4.05930786199742,-8.94042116472592,-4.56605213256271,-5.35825951780874,-5.70342065257189,-6.04858178733504,-6.39374292209819,-4.04219801441706,-3.68485152278256,-4.16533935197912,-7.12519242724038,-8.18883371320991,-9.85087958909007,-11.5129254649702,-8.90855590323308,-11.5129254649702,-11.5129254649702,-8.50904729474141,-8.74746135360142,-8.98587541246142,-9.22428947132142,-11.5129254649702,-8.35336029588069,-11.5129254649702,-7.97599164480666,-5.16782197393388,-5.00187486419341,-4.83592775445294,-4.66998064471248,-4.11403065460766,-3.14405301961984,-4.6888863124413,-11.5129254649702,-9.91453856378896,-8.3161516626077,-6.71776476142643,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-6.55676196020725,-4.45125203707263,-3.62221238380435
"ASV_7",-11.5129254649702,-7.7202293185772,-9.04984632634275,-8.83570364227957,-8.07538504642404,-2.58929331519388,-2.36010211944345,-2.48556025854863,-3.04622203859985,-2.70828070897596,-2.5152498865496,-2.68660896050015,-2.85796803445069,-3.02932710840123,-3.10941345980029,-3.18949981119935,-3.08876029204756,-2.98802077289578,-3.02434673350372,-3.06067269411167,-3.09699865471962,-5.23388119139154,-3.9486185565997,-6.28540509104363,-7.10109777372095,-6.27228672122502,-5.44347566872909,-4.61466461623315,-2.38011188579912,-3.88280190561647,-3.05927179700062,-3.2416294848173,-2.84983139201404,-3.0818838750381,-3.31393635806215,-2.6973756975811,-3.98114362153104,-4.99992879755028,-5.08537441559039,-5.33806429723325,-5.59075417887611,-5.84344406051897,-7.08931836885006,-7.99878129586796,-7.09488477031214,-6.24906908932308,-5.30140538139413,-5.12026680250169,-4.93912822360925,-4.75798964471681,-4.64858953870518,-3.63944781188432,-2.31792902291401,-2.76051506693945,-2.67143109938096,-2.58234713182247,-2.49326316426398,-3.49418873760094,-2.66273663904847,-2.57961846475632,-2.37187449989879,-2.4196082490383,-2.54469524318568,-2.26900497776899
"ASV_8",-1.69929076759116,-4.44986205789069,-3.83211860724804,-2.71092284062665,-2.44763930902654,-2.27364511049307,-2.5135224756783,-2.22844213741997,-2.32943090526919,-2.45807851891877,-2.31879843889885,-2.2264314223382,-2.13406440577756,-2.04169738921692,-2.35011910168144,-2.65854081414597,-2.61820241803783,-2.5778640219297,-2.58982065989755,-2.60177729786539,-2.61373393583324,-2.50142511041277,-1.94528726486196,-2.92087951785162,-2.60042869292345,-2.81404033849742,-3.02765198407138,-3.24126362964535,-2.0252332342182,-1.71772640408784,-2.1802359256749,-4.86367122822988,-5.54062615988255,-6.08282239375245,-6.62501862762235,-6.16719210108151,-5.86505145245366,-6.09803256264739,-6.28321169326883,-5.83973485855684,-5.39625802384485,-4.95278118913286,-6.71985598607338,-6.00492621887497,-7.09488477031214,-6.11824369104967,-6.32838607506815,-6.5359769054447,-6.74356773582125,-6.9511585661978,-7.06008894220499,-5.46296546064922,-5.97949504690404,-7.22157399860574,-6.98902409439368,-6.75647419018162,-6.52392428596956,-5.58277036170632,-6.19942619542029,-4.72274905280143,-3.24263199435725,-3.40089742665316,-3.88680607126142,-3.42001098406414
"ASV_9",-1.51620802758402,-2.34518584476099,-2.67071210242298,-3.83846536407588,-4.55681011027029,-6.41880949929852,-6.45997610102866,-5.77519873094846,-3.73231781996877,-4.42166721946706,-5.68027015637459,-5.4280254708306,-5.17578078528661,-4.92353609974262,-8.21823078235643,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-7.75721592198702,-7.86955200372229,-7.76323827342606,-7.65692454312983,-7.55061081283361,-9.4222425272573,-11.5129254649702,-8.64598515902504,-11.5129254649702,-9.93915139366349,-9.00284678301083,-8.06654217235817,-2.98790328365969,-1.61440160912521,-1.54514360028855,-1.34520109215475,-1.34825799156712,-1.35131489097949,-1.35437179039187,-1.58025328553426,-2.80309514786645,-2.26397662515209,-2.76387228905028,-3.10731471630396,-3.15981231893578,-3.21230992156759,-3.2648075241994,-2.46004998279496,-3.01344160502081,-2.74070794268062,-3.18274928848235,-3.05576535622205,-2.92878142396176,-2.80179749170146,-4.30803756506108,-5.14920852279294,-8.12354995500266,-9.17538236453154,-8.98606907453847,-8.9999135115793,-11.5129254649702
"ASV_10",-7.50945011047788,-5.97956275486142,-5.65170174467918,-5.47980657697251,-5.07037946033854,-4.78741511361191,-4.61681776982099,-4.51123857036072,-4.85772115785944,-5.1029682257246,-4.82904664432983,-4.87562695017364,-4.92220725601745,-4.96878756186126,-4.79528821940587,-4.62178887695049,-4.57202191655777,-4.52225495616505,-4.53770226899987,-4.55314958183469,-4.56859689466951,-3.8931053859878,-11.5129254649702,-4.05460729676311,-4.27601611885266,-4.41219409672477,-4.54837207459689,-4.684550052469,-4.30904527678503,-4.66388890203716,-5.68931627221268,-7.29350826515204,-7.84301909132906,-5.60163174242398,-3.36024439351891,-3.28077879999383,-4.05629918100364,-4.15277627712186,-4.68602659466548,-4.02883788756929,-3.37164918047311,-2.71446047337692,-2.27716978976257,-1.80728575312577,-2.27818359437366,-1.8600505765876,-2.3091595595568,-2.32953491942305,-2.3499102792893,-2.37028563915556,-2.28039169917264,-2.61965270002666,-3.01190557199995,-2.30655262318489,-2.31714078602172,-2.32772894885855,-2.33831711169539,-2.42016906088239,-3.64088762665439,-3.38809228540457,-3.13037492250065,-3.8297940351909,-4.14930056975997,-3.43352054408975
