"","m4_T1","m4_T2","m4_T3","m4_T4","m4_T5","m4_T6","m4_T7","m4_T8","m4_T9","m4_T10","m4_T11","m4_T12","m4_T13","m4_T14","m4_T15","m4_T16","m4_T17","m4_T18","m4_T19","m4_T20","m4_T21","m4_T22","m4_T23","m4_T24","m4_T25","m4_T26","m4_T27","m4_T28","m4_T29","m4_T30","m4_T31","m4_T32","m4_T33","m4_T34","m4_T35","m4_T36","m4_T37","m4_T38","m4_T39","m4_T40","m4_T41","m4_T42","m4_T43","m4_T44","m4_T45","m4_T46","m4_T47","m4_T48","m4_T49","m4_T50","m4_T51","m4_T52","m4_T53","m4_T54","m4_T55","m4_T56","m4_T57","m4_T58","m4_T59","m4_T60","m4_T61","m4_T62","m4_T63","m4_T64"
"ASV_1",-7.76888260004329,-4.40324566817617,-4.03438424515849,-3.33673540831106,-3.3371875013386,-3.26643050760827,-3.32323334878957,-2.87906981579479,-2.68567879900792,-2.45663600202518,-2.31851892979254,-2.38773772863837,-2.45695652748421,-2.52617532633004,-2.59988989368343,-2.67360446103683,-2.79538045038124,-2.91715643972565,-2.90976024941741,-2.90236405910918,-2.89496786880095,-4.74577271552587,-4.61618090623964,-5.37070089545706,-4.6757855240025,-4.62585532567266,-4.57592512734282,-4.52599492901298,-2.57232198766451,-2.29622220712944,-2.74539009101931,-2.7165605415187,-2.99259137722342,-2.91870974050389,-2.84482810378435,-3.32917588900109,-2.84746055375397,-3.07260056138722,-3.21676540951435,-2.9491063728089,-2.68144733610346,-2.41378829939802,-2.59077118114999,-1.36596086506041,-1.25196138339781,-1.30043040148826,-1.09394337997247,-1.22769747055432,-1.36145156113617,-1.49520565171803,-0.671265509595679,-0.614102126966908,-0.702082380741951,-1.38816256480579,-1.88257448691965,-2.37698640903351,-2.87139833114738,-1.72350805895648,-1.33733163535703,-0.9795743166003,-1.01609661050315,-0.992103430157843,-0.971276062302991,-1.45994100601095
"ASV_2",-5.33841074759418,-3.75025862553979,-1.93973696696686,-2.19306382047899,-1.9765350486528,-1.97078307957859,-1.7970071295791,-3.52069035638833,-1.86929257593788,-1.91966055612647,-2.29434537689216,-2.18063805995756,-2.06693074302297,-1.95322342608838,-1.86935341909615,-1.78548341210393,-1.90246466048221,-2.01944590886048,-2.03542132411682,-2.05139673937316,-2.0673721546295,-0.875032900197806,-0.917819270031767,-1.23231576885997,-0.83045048302724,-0.845499514183943,-0.860548545340646,-0.875597576497349,-1.50959540557387,-1.50301828409081,-1.69539203434615,-1.63293351670775,-1.5785718495292,-1.8741345149976,-2.16969718046599,-2.01069663285366,-2.48765685274465,-2.6025266890937,-4.55604594338523,-5.53188092602621,-6.50771590866719,-7.48355089130816,-11.5129254649702,-10.2062052709294,-8.81800669499236,-1.96290420732517,-2.56941522452955,-2.42394485687376,-2.27847448921798,-2.13300412156219,-3.90222828987384,-3.02335600009963,-2.29107065666691,-6.62842915989242,-8.25659459491836,-9.88476002994429,-11.5129254649702,-11.5129254649702,-9.99728522690734,-11.5129254649702,-11.5129254649702,-10.5011813495046,-8.23735750376902,-9.10291227258025
"ASV_3",-3.22582428501786,-2.17931422899325,-1.72289767585897,-1.52243329140424,-1.3139919935412,-1.47153257259841,-1.95641420269307,-1.40955285877121,-1.38539590427485,-1.52208094847756,-1.63535355400637,-1.65209526846263,-1.66883698291889,-1.68557869737515,-1.53227450768271,-1.37897031799028,-1.34665732254068,-1.31434432709108,-1.38578009781369,-1.4572158685363,-1.5286516392589,-4.05720689305148,-7.82271322761091,-9.18855223618804,-8.24445453315986,-9.33394484376331,-10.4234351543668,-11.5129254649702,-7.80372472494493,-6.84600220556845,-7.03815269733667,-6.05881312729928,-6.25692621174052,-6.73237119446779,-7.20781617719507,-7.32845430781947,-5.9379025878813,-6.37169989379453,-7.27541219478297,-5.92378716119555,-4.57216212760814,-3.22053709402073,-3.25473882734143,-2.40894553967493,-2.29998835240914,-2.70040592536652,-3.23689108755533,-3.3904888607424,-3.54408663392948,-3.69768440711655,-5.30875635964954,-7.24780329499708,-8.67766175817866,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-8.79101581210099,-8.62364320218472,-8.96097412986979,-8.80466523866422,-11.5129254649702,-11.5129254649702
"ASV_4",-2.5344027827227,-1.71195348696066,-2.28175738508893,-2.81442406556287,-3.7020906024205,-4.57246121324635,-4.88320080584234,-4.94419369209746,-4.81089792580598,-5.43930180711752,-5.54084390390344,-5.76535677492953,-5.98986964595562,-6.21438251698171,-6.31902162952536,-6.42366074206901,-6.51746418463189,-6.61126762719476,-6.57811511979449,-6.54496261239422,-6.51181010499395,-6.49283725488334,-6.90191203877862,-7.15832652220326,-6.40539095938763,-6.62952900614543,-6.85366705290323,-7.07780509966103,-3.53647935266236,-2.45427407949821,-2.05700913061544,-2.07884153007325,-1.78141717429936,-1.79563575526189,-1.80985433622442,-1.85160626852259,-2.0174348920491,-2.64763701704642,-1.9668795161553,-2.48223592162805,-2.9975923271008,-3.51294873257354,-3.98966079031288,-3.04576799367688,-3.07426083320178,-2.93362659516672,-2.33666256502388,-2.23679500866777,-2.13692745231166,-2.03705989595554,-3.12945555510318,-3.32839709661821,-3.6758015696818,-3.71732866227411,-4.0954498817693,-4.4735711012645,-4.8516923207597,-4.66441762845157,-6.43242172442436,-4.79956047421649,-4.88861496010489,-4.05682388221992,-3.39582021487634,-2.77632041777399
"ASV_5",-4.16476809604041,-2.75661598179454,-2.7491517716677,-2.81819133772789,-3.47626785101497,-3.62017581168654,-3.71059974156503,-3.59423772959221,-3.7735572885931,-3.95868158545368,-3.95738807486365,-4.15322469211424,-4.34906130936484,-4.54489792661544,-4.59977204484904,-4.65464616308263,-4.5861278468681,-4.51760953065356,-4.421030032291,-4.32445053392843,-4.22787103556587,-4.43078677823448,-4.43107032469069,-3.59854620211418,-3.5778889369473,-3.74880109177694,-3.91971324660658,-4.09062540143622,-3.21135962864397,-4.46513598161214,-4.90668476096081,-4.93221038463873,-5.09848280461523,-4.75317411808319,-4.40786543155115,-4.10895167971556,-3.03674672188541,-5.40972534013688,-3.32861140980566,-3.31400429212682,-3.29939717444798,-3.28479005676915,-7.25709814052924,-6.11064850702588,-4.53173122272536,-4.61619593899034,-3.94288124312079,-3.80957498409564,-3.6762687250705,-3.54296246604536,-4.65117602704998,-2.78025510228076,-2.07418010237511,-1.4077004949606,-1.24560156597189,-1.08350263698319,-0.921403707994485,-0.650666096969827,-0.990984046837508,-2.06223886747701,-2.12205804807436,-2.70676327355371,-3.97264145363838,-2.87907451355554
"ASV_6",-3.0886349470749,-2.23370519623513,-2.05830035504529,-1.56097474706982,-1.98377973910978,-1.74482817637889,-1.79866724003383,-1.78767754349785,-2.63811616943906,-2.29564309639045,-1.90418685044657,-1.95909573088016,-2.01400461131375,-2.06891349174734,-2.24384028524189,-2.41876707873645,-2.44645608088618,-2.47414508303591,-2.30677171424128,-2.13939834544664,-1.97202497665201,-3.66948384124154,-4.28197439845336,-3.98106850519943,-3.96524691537943,-4.61547873305833,-5.26571055073722,-5.91594236841611,-4.51177808184291,-4.66128868233593,-4.50367862605057,-4.20429648294208,-4.24536515007426,-3.79620900028882,-3.34705285050337,-3.88263326583265,-3.64542201473568,-3.4603699180349,-6.70304195986159,-6.96321160367712,-7.22338124749264,-7.48355089130816,-6.92974889432827,-5.88355795032384,-4.76502658956356,-4.86069828612421,-4.78729842462054,-4.53649101283527,-4.28568360104999,-4.03487618926472,-5.53639464539385,-6.44062835339729,-7.68651051496775,-9.72922449109282,-10.3237914823853,-10.9183584736778,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702
"ASV_7",-9.51836056315828,-11.5129254649702,-8.79347819772436,-8.83719494897667,-8.68496714168735,-4.61363076536807,-2.59922621099996,-2.8318927112939,-2.59770027666109,-2.73730886443545,-2.4614231839586,-2.45055362244103,-2.43968406092346,-2.42881449940589,-2.62843970665695,-2.828064913908,-2.63341043679532,-2.43875595968264,-2.56578424544252,-2.6928125312024,-2.81984081696228,-4.6183971965548,-4.31502280763932,-6.45194801045888,-5.99346844891409,-5.67107122775988,-5.34867400660567,-5.02627678545146,-3.66854178343529,-3.45578712989314,-2.59096473870417,-2.50628668316359,-2.821398193967,-2.7248197120455,-2.628241230124,-1.68820709118749,-2.60202939230683,-6.06383603999836,-5.93424954656051,-5.28103417993928,-4.62781881331805,-3.97460344669681,-3.83923560440464,-5.88355795032384,-6.28400447148862,-5.75006031512186,-5.38607131776879,-4.68605170853696,-3.98603209930513,-3.28601249007331,-2.43146717257287,-3.07432915615991,-3.69175470163196,-3.35610040037083,-3.20718199571393,-3.05826359105702,-2.90934518640012,-3.89889426231681,-3.05518595080523,-2.5111318122248,-2.22982676081151,-1.94760948989442,-1.75300012678566,-1.74959846910671
"ASV_8",-1.95457572349432,-5.5534742425346,-5.23810633059741,-3.28666140092413,-2.7401170389502,-2.28702683361581,-2.1109044008413,-1.84066347817333,-4.11135186846501,-4.70163596749514,-3.30279223974761,-2.84257219133957,-2.38235214293153,-1.92213209452349,-1.92536063309409,-1.92858917166468,-2.16108183703137,-2.39357450239806,-2.56902457304667,-2.74447464369527,-2.91992471434388,-3.316018628147,-3.77767855496111,-3.59742364752752,-3.62733991051804,-3.20588435341628,-2.78442879631453,-2.36297323921277,-2.27353403055208,-2.39028232372379,-2.09986051608785,-2.39762103935657,-2.18801607280027,-2.28939808863731,-2.39078010447434,-3.47227857434057,-2.84965978999043,-5.68148225771026,-6.32059337889115,-4.74933363810022,-3.17807389730928,-1.60681415651834,-2.01791106745476,-3.59789034097752,-5.52198266537265,-5.08498265452621,-5.99038924222848,-5.99788043641174,-6.00537163059499,-6.01286282477825,-6.52135702688334,-4.98038448289571,-6.19165784458778,-5.99711179812036,-6.02011679985617,-6.04312180159197,-6.06612680332778,-6.13104529929794,-7.8674882292736,-5.77934807613172,-6.44907707728113,-6.83288879883931,-6.63897267764011,-6.7901928158678
"ASV_9",-1.30264869267601,-1.83056392225544,-2.91867738187748,-4.55301741409195,-5.12562664965651,-6.07393029011849,-6.32132739173337,-11.5129254649702,-6.73904584513227,-3.71696827829449,-6.41864894342857,-6.65461428359536,-6.89057962376216,-7.12654496392896,-9.31973521444959,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-8.81254773772873,-4.91012648443211,-7.80046344527939,-8.75662509849128,-8.89922719486335,-9.04182929123542,-9.18443138760749,-8.38965186030153,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-11.5129254649702,-8.1766233805435,-3.55453657797692,-1.18280921711497,-1.04870872862007,-1.20229445709986,-1.35588018557966,-1.50946591405946,-1.43215202057815,-2.70209882345199,-2.61158225099108,-2.45461205657664,-3.52367525250215,-3.91548028119623,-4.30728530989031,-4.69909033858439,-5.53639464539385,-4.83621745950128,-6.08757034831874,-3.95292870765756,-3.54740419464134,-3.14187968162512,-2.7363551686089,-4.73374484087884,-5.73137220225148,-5.52439895760269,-5.70181549509676,-5.87434657103225,-5.7470195521859,-7.28520568610815
"ASV_10",-8.68723967708189,-5.72241595511714,-4.47377051385329,-4.29764357590056,-4.70427447329211,-4.77274454679104,-5.24798921061116,-4.87722050845101,-4.96250257883201,-4.90175206525234,-4.05799045611229,-4.22927656083525,-4.4005626655582,-4.57184877028116,-4.69645902333777,-4.82106927639439,-4.7414447444482,-4.66182021250202,-4.60481440022619,-4.54780858795037,-4.49080277567454,-3.85993103848823,-3.50515808603195,-4.36589807868404,-4.36215612446727,-4.4617452233773,-4.56133432228732,-4.66092342119734,-4.00032779054556,-4.29261969038475,-4.40062239209696,-4.25893787270696,-4.15999758229694,-4.05284844253136,-3.94569930276578,-3.49951931902314,-3.40578079129685,-5.50147848670373,-6.28040402429909,-5.18758552804308,-4.09476703178706,-3.00194853553105,-2.56107800905138,-2.37622696718045,-2.22713401297216,-2.23363989325815,-1.99847362409389,-2.06232011898468,-2.12616661387547,-2.19001310876626,-2.51093882984843,-3.12330532775051,-3.49819938818109,-2.17961250376217,-2.32045870795091,-2.46130491213966,-2.6021511163284,-3.09967919376468,-5.06195660557973,-4.62187146404338,-3.96462259123647,-3.41748297709656,-3.33825643178711,-2.88268833086367
