"","m4_T1","m4_T2","m4_T3","m4_T4","m4_T5","m4_T6","m4_T7","m4_T8","m4_T9","m4_T10","m4_T11","m4_T12","m4_T13","m4_T14","m4_T15","m4_T16","m4_T17","m4_T18","m4_T19","m4_T20","m4_T21","m4_T22","m4_T23","m4_T24","m4_T25","m4_T26","m4_T27","m4_T28","m4_T29","m4_T30","m4_T31","m4_T32","m4_T33","m4_T34","m4_T35","m4_T36","m4_T37","m4_T38","m4_T39","m4_T40","m4_T41","m4_T42","m4_T43","m4_T44","m4_T45","m4_T46","m4_T47","m4_T48","m4_T49","m4_T50","m4_T51","m4_T52","m4_T53","m4_T54","m4_T55","m4_T56","m4_T57","m4_T58","m4_T59","m4_T60","m4_T61","m4_T62","m4_T63","m4_T64"
"ASV_1",-7.76888260004329,0.0315800607204437,-2.89911603927612,-0.6132732629776,-3.07959365844727,-1.13133108615875,-2.66477584838867,-1.70314753055573,-2.59711980819702,-1.62958097457886,-2.20663523674011,-1.67624282836914,-2.25152325630188,-2.0090663433075,-2.38469004631042,-2.10182332992554,-2.18406462669373,-1.84005165100098,-1.78895914554596,-1.51607656478882,-1.47906076908112,-1.67423009872437,-1.72897124290466,-1.69849514961243,-1.70411431789398,-1.62370991706848,-1.58990120887756,-1.52417373657227,-1.17733359336853,-1.15444421768188,-1.19331336021423,-1.27819693088531,-1.38729977607727,-1.4691116809845,-1.53634309768677,-1.60425913333893,-1.65260589122772,-1.67231011390686,-1.66164100170135,-1.63098037242889,-1.59182667732239,-1.55845165252686,-1.50686621665955,-1.46091723442078,-1.43177533149719,-1.431511759758,-1.44705939292908,-1.47186601161957,-1.49271106719971,-1.49654483795166,-1.486945271492,-1.45702219009399,-1.40560078620911,-1.39279079437256,-1.4261519908905,-1.49040269851685,-1.55589163303375,-1.61166656017303,-1.66161966323853,-1.72466003894806,-1.75354909896851,-1.74641406536102,-1.7137223482132,-1.676837682724
"ASV_2",-5.33841074759418,3.17325496673584,-0.638132095336914,1.44748115539551,-2.25839424133301,0.162555441260338,-2.55071997642517,-1.54899525642395,-3.3308699131012,-1.58756387233734,-2.0773069858551,-0.864091396331787,-1.74696660041809,-1.57937157154083,-2.61704587936401,-2.64735341072083,-3.29266357421875,-3.18045949935913,-3.50022387504578,-3.41778135299683,-3.75230956077576,-3.92746067047119,-4.20556306838989,-4.42653512954712,-4.78923511505127,-4.96629285812378,-5.1042103767395,-5.02672004699707,-4.96894454956055,-5.15002632141113,-5.37944316864014,-5.56156778335571,-5.6880259513855,-5.72720813751221,-5.78049612045288,-6.00058889389038,-6.50026178359985,-6.63670587539673,-6.50110483169556,-6.2534236907959,-6.04265642166138,-5.93377256393433,-5.74189138412476,-5.28494739532471,-5.16961145401001,-5.3342547416687,-5.6363697052002,-5.93378973007202,-6.14254093170166,-6.23608541488647,-6.45335626602173,-6.91668081283569,-7.13531970977783,-7.20015525817871,-7.20203971862793,-7.18150568008423,-7.14392137527466,-6.87117385864258,-6.24414873123169,-5.81604671478271,-5.57246112823486,-5.47198677062988,-5.46996784210205,-5.5319652557373
"ASV_3",-3.22582428501786,0.534739196300507,-3.97713971138,-1.54777371883392,-5.3569450378418,-4.09110021591187,-6.63118314743042,-5.27718114852905,-6.90220403671265,-5.9767427444458,-7.06098031997681,-6.63755702972412,-7.68156433105469,-7.62809133529663,-8.34426975250244,-8.21524047851562,-8.59067535400391,-8.48262023925781,-8.75322246551514,-8.76033306121826,-9.03762912750244,-9.45798587799072,-10.0590906143188,-10.3063306808472,-10.4655447006226,-10.4990186691284,-10.5619173049927,-10.5864152908325,-10.3885459899902,-10.1696853637695,-10.2083978652954,-10.3392181396484,-10.4315042495728,-10.4430885314941,-10.4025506973267,-10.3983993530273,-10.3341636657715,-10.1078701019287,-9.84876155853271,-9.65564155578613,-9.57665634155273,-9.56527233123779,-9.4778242111206,-9.42805194854736,-9.54824447631836,-9.7592658996582,-9.97488117218018,-10.1225833892822,-10.2033624649048,-10.242259979248,-10.1810235977173,-10.1335220336914,-10.0861043930054,-10.0193014144897,-9.95414447784424,-9.92478561401367,-9.89435386657715,-9.9058780670166,-9.84486198425293,-9.75107955932617,-9.67431640625,-9.61818313598633,-9.55606174468994,-9.52103996276855
"ASV_4",-2.5344027827227,-0.0645138174295425,-2.43426108360291,0.473242729902267,-3.52983999252319,-1.96266651153564,-4.02675819396973,-2.48830819129944,-3.65381026268005,-2.50755620002747,-3.31983661651611,-2.6239013671875,-3.27366590499878,-2.87006783485413,-3.24103736877441,-2.78685450553894,-2.78557324409485,-2.29332900047302,-2.20542001724243,-1.90798938274384,-1.93409442901611,-2.23686337471008,-2.60178351402283,-2.71325206756592,-2.80496883392334,-2.79308176040649,-2.8633861541748,-2.93105435371399,-2.64989376068115,-2.45389580726624,-2.41746306419373,-2.45937633514404,-2.51391410827637,-2.49127149581909,-2.39494872093201,-2.26855397224426,-2.19121694564819,-2.12179112434387,-2.05858731269836,-2.00474691390991,-1.98279595375061,-2.01502132415771,-2.11086463928223,-2.23586940765381,-2.41577219963074,-2.62919521331787,-2.83960604667664,-3.00879454612732,-3.10394668579102,-3.11723017692566,-3.067058801651,-2.98197722434998,-2.85041236877441,-2.70112490653992,-2.54498410224915,-2.4231104850769,-2.32308506965637,-2.24344658851624,-2.16817736625671,-2.13795042037964,-2.1489040851593,-2.2099723815918,-2.28224086761475,-2.3683032989502
"ASV_5",-4.16476809604041,-0.842682898044586,-2.71596026420593,-1.97093594074249,-4.18623399734497,-2.26930332183838,-3.64795136451721,-2.19576501846313,-3.02855277061462,-2.03838729858398,-2.81401371955872,-2.34127974510193,-2.93420362472534,-2.50742816925049,-2.77952241897583,-2.41312575340271,-2.5761570930481,-2.34477424621582,-2.49742150306702,-2.40649938583374,-2.56866431236267,-2.7153377532959,-2.78392696380615,-2.76889777183533,-2.85627222061157,-2.8977997303009,-3.00625801086426,-3.09402513504028,-3.07568049430847,-3.26300168037415,-3.4279191493988,-3.54598355293274,-3.64126110076904,-3.734050989151,-3.8372631072998,-3.94237589836121,-4.01134586334229,-4.05991411209106,-4.10705947875977,-4.14834690093994,-4.19907855987549,-4.25133800506592,-4.29400968551636,-4.35157060623169,-4.40104007720947,-4.43307685852051,-4.44952392578125,-4.44159841537476,-4.42212247848511,-4.41273832321167,-4.43890810012817,-4.45341444015503,-4.47698497772217,-4.53385734558105,-4.63338851928711,-4.75612258911133,-4.86966753005981,-4.96215295791626,-5.07640171051025,-5.19459199905396,-5.27931356430054,-5.30763387680054,-5.28429174423218,-5.23592233657837
"ASV_6",-3.0886349470749,2.19646048545837,-2.54025197029114,1.47994184494019,-3.8873565196991,-1.96177923679352,-4.99569034576416,-2.97647714614868,-5.37315607070923,-3.91909694671631,-5.43468713760376,-4.52141857147217,-5.8102011680603,-5.45655727386475,-6.40184259414673,-6.06080389022827,-6.54294443130493,-6.22033262252808,-6.5399923324585,-6.42492055892944,-6.78495645523071,-7.15227937698364,-7.62510871887207,-7.81630420684814,-8.11412143707275,-8.25548362731934,-8.50365257263184,-8.68139743804932,-8.63411045074463,-8.70480442047119,-8.88010501861572,-9.01891136169434,-9.10009670257568,-9.04103565216064,-8.89291095733643,-8.85703659057617,-8.79425144195557,-8.70220470428467,-8.44208145141602,-8.16359329223633,-7.96538972854614,-7.86883401870728,-7.72821235656738,-7.69614696502686,-7.73604106903076,-7.99363565444946,-8.31276702880859,-8.5940523147583,-8.79506683349609,-8.89673709869385,-8.86620330810547,-9.00063896179199,-9.14223861694336,-9.14950942993164,-9.08283042907715,-8.9859209060669,-8.84445476531982,-8.73756694793701,-8.40084457397461,-8.03048992156982,-7.80497646331787,-7.69153881072998,-7.64561700820923,-7.67097091674805
"ASV_7",-9.51836056315828,-3.32362270355225,-4.99156427383423,-0.496107846498489,-1.99106645584106,-1.61214697360992,-2.65463352203369,-1.78389644622803,-2.42500281333923,-2.12432360649109,-2.57900953292847,-2.34124112129211,-2.77048754692078,-2.87678647041321,-3.3265528678894,-3.41723823547363,-3.64415788650513,-3.63291621208191,-3.71546483039856,-3.66531324386597,-3.69346189498901,-3.7441623210907,-3.91140151023865,-3.95023798942566,-3.86232280731201,-3.68564963340759,-3.49442434310913,-3.32523441314697,-3.11473393440247,-2.87119007110596,-2.77080988883972,-2.86251616477966,-3.03400635719299,-3.21784114837646,-3.33338308334351,-3.43186020851135,-3.53721022605896,-3.66298151016235,-3.73228597640991,-3.76301121711731,-3.74943470954895,-3.73206806182861,-3.6765820980072,-3.58100247383118,-3.42699694633484,-3.30334949493408,-3.2075309753418,-3.15800189971924,-3.11762428283691,-3.07900071144104,-3.04095435142517,-2.94802641868591,-2.85537481307983,-2.80276298522949,-2.77631306648254,-2.78063583374023,-2.81295990943909,-2.8538818359375,-2.94190859794617,-3.01213765144348,-3.03699326515198,-3.0507652759552,-3.05818057060242,-3.05826425552368
"ASV_8",-1.95457572349432,-1.49823522567749,-3.62837886810303,-0.959364295005798,-3.01991653442383,-2.30856823921204,-3.3263533115387,-1.78757560253143,-2.4838535785675,-2.0192186832428,-2.87376546859741,-2.61096954345703,-3.12650513648987,-2.9926028251648,-3.40781569480896,-3.4072322845459,-3.7622697353363,-3.89464664459229,-4.27204084396362,-4.50316524505615,-4.8361759185791,-5.01455450057983,-5.25063896179199,-5.30220365524292,-5.29607725143433,-5.18817472457886,-5.12632608413696,-5.09570026397705,-5.09512567520142,-4.99530506134033,-4.93043375015259,-4.9061484336853,-4.93913269042969,-4.95084381103516,-4.91290664672852,-4.85754632949829,-4.82422637939453,-4.78834676742554,-4.80880308151245,-4.86293268203735,-4.91504716873169,-4.96793985366821,-5.01611661911011,-5.0645489692688,-5.12415981292725,-5.11708211898804,-5.05525732040405,-4.97816896438599,-4.88549470901489,-4.7857985496521,-4.59267854690552,-4.50639629364014,-4.4437460899353,-4.39778232574463,-4.32991456985474,-4.24876832962036,-4.1748628616333,-4.2194995880127,-4.19308614730835,-4.17257785797119,-4.15442705154419,-4.17194652557373,-4.21410465240479,-4.26003360748291
"ASV_9",-1.30264869267601,3.79837942123413,-8.47447109222412,-0.295804262161255,-8.14336776733398,-1.56212151050568,-6.72361326217651,-3.02151370048523,-7.95831251144409,-5.8742413520813,-8.93669700622559,-6.87460422515869,-8.28510284423828,-6.3525710105896,-6.91778326034546,-5.40755701065063,-5.7688045501709,-4.82352876663208,-5.0504789352417,-4.30403709411621,-4.27911424636841,-3.67406511306763,-3.64646100997925,-3.28963804244995,-3.59203100204468,-3.96363806724548,-4.6556978225708,-5.13444757461548,-5.59760332107544,-5.8702826499939,-6.25473499298096,-6.36449337005615,-6.32616567611694,-6.22313928604126,-6.26618337631226,-6.12315368652344,-6.22254037857056,-6.26897716522217,-6.26123523712158,-6.28864336013794,-6.3667516708374,-6.37719345092773,-6.6215615272522,-6.64507961273193,-6.69009160995483,-6.783043384552,-6.83805418014526,-6.85668277740479,-6.95029735565186,-7.14403104782104,-7.3073263168335,-7.59156274795532,-7.85560607910156,-8.06652927398682,-8.26064395904541,-8.46234226226807,-8.62513256072998,-8.8654613494873,-8.97001552581787,-9.03882789611816,-9.07669258117676,-9.03928089141846,-8.90075588226318,-8.73036193847656
"ASV_10",-8.68723967708189,-0.475441873073578,-5.11683654785156,-2.0187611579895,-4.31795072555542,-2.02060723304749,-3.57929515838623,-2.25920701026917,-3.82283234596252,-2.92702722549438,-3.83765983581543,-3.22385692596436,-3.85265851020813,-3.32181692123413,-3.57674026489258,-3.13012981414795,-3.3110990524292,-3.04085326194763,-3.13944315910339,-2.90093064308167,-2.8919632434845,-2.74562740325928,-2.64511752128601,-2.48004531860352,-2.50268602371216,-2.52261304855347,-2.64437079429626,-2.71928429603577,-2.7605357170105,-2.89692568778992,-3.01386857032776,-3.03393650054932,-3.00649118423462,-2.96505522727966,-2.96973252296448,-3.00030207633972,-3.01891303062439,-2.96965765953064,-2.93589448928833,-2.96703553199768,-3.02677011489868,-3.04831314086914,-3.02736020088196,-3.00319910049438,-3.04029083251953,-3.08124160766602,-3.07191705703735,-3.03611707687378,-3.02851724624634,-3.05891418457031,-3.07875871658325,-3.12263488769531,-3.14345407485962,-3.17197847366333,-3.21357250213623,-3.26190829277039,-3.28644728660583,-3.32778382301331,-3.34422779083252,-3.38625431060791,-3.41477751731873,-3.41303873062134,-3.37799334526062,-3.344083070755
