HeldoutSubjectId	HeldoutSubjectIdx	Method	TaxonIdx	TimePoint	Truth	Pred
2	0	MDSINE2	0.0	0.0	96016783.88308714	96016783.88308714
2	0	MDSINE2	0.0	1.0	6081096.091609839	108986107.8722483
2	0	MDSINE2	0.0	2.0	25132257.967918836	127984551.83263281
2	0	MDSINE2	0.0	3.0	104781835.7126948	151669713.47011846
2	0	MDSINE2	0.0	4.0	108410328.86709318	176608098.97747913
2	0	MDSINE2	0.0	5.0	454258109.6478558	205583239.01273048
2	0	MDSINE2	0.0	6.0	979401807.0971885	239178664.8136438
2	0	MDSINE2	0.0	7.0	545977180.1588324	278005993.2871971
2	0	MDSINE2	0.0	8.0	573066790.6111131	329646131.21286213
2	0	MDSINE2	0.0	9.0	545119727.4521991	454243807.65624034
2	0	MDSINE2	0.0	10.0	1040933954.6854761	583963952.3657054
2	0	MDSINE2	0.0	11.0	5193057906.810591	719483019.8426849
2	0	MDSINE2	0.0	12.0	5164865074.366183	830370634.6214691
2	0	MDSINE2	0.0	13.0	3962861641.644067	981644498.109266
2	0	MDSINE2	0.0	14.0	3437395222.326853	1034986051.6464369
2	0	MDSINE2	0.0	15.0	1216855266.3958454	962236689.8048456
2	0	MDSINE2	0.0	16.0	1875815897.2988088	1025369728.005652
2	0	MDSINE2	0.0	17.0	1495156194.3765235	825547472.6503183
2	0	MDSINE2	0.0	18.0	7715028661.939049	753646283.0733972
2	0	MDSINE2	0.0	19.0	11140130368.173098	790160112.0100267
2	0	MDSINE2	0.0	20.0	2034449922.9625432	654796882.9448502
2	0	MDSINE2	0.0	21.0	1538560360.3251414	665211900.6129459
2	0	MDSINE2	0.0	22.0	328425003.2015202	604544172.446903
2	0	MDSINE2	0.0	23.0	814298665.0567791	574800671.3221667
2	0	MDSINE2	0.0	24.0	1444707563.6194916	720450775.5769758
2	0	MDSINE2	0.0	25.0	1061689696.5711787	862743208.468302
2	0	MDSINE2	0.0	26.0	501918886.3287589	1199004446.9447122
2	0	MDSINE2	0.0	27.0	436693922.2470497	1502854260.8506942
2	0	MDSINE2	0.0	28.0	10872130506.499578	2139480343.4224424
2	0	MDSINE2	0.0	29.0	12988098726.50733	3170169168.704282
2	0	MDSINE2	0.0	30.0	27811919236.009304	3238613872.2913647
2	0	MDSINE2	0.0	31.0	2517376956.111766	3199395267.625778
2	0	MDSINE2	0.0	32.0	36567708375.49144	3650388843.7805586
2	0	MDSINE2	0.0	33.0	16545120603.991013	4902862199.29665
2	0	MDSINE2	0.0	34.0	4782323784.504114	5377438062.610249
2	0	MDSINE2	0.0	35.0	20870626524.00732	5428093619.790097
2	0	MDSINE2	0.0	36.0	17393728193.59552	5386544092.023052
2	0	MDSINE2	0.0	37.0	15006798709.278605	5808769977.419901
2	0	MDSINE2	0.0	38.0	17292938140.134686	4920367549.313426
2	0	MDSINE2	0.0	39.0	21169540347.27048	3640657131.1887035
2	0	MDSINE2	0.0	40.0	10894522828.953926	2909291771.891202
2	0	MDSINE2	0.0	41.0	25922902962.060867	2625363870.230386
2	0	MDSINE2	0.0	42.0	21048532541.33195	2411555677.1495857
2	0	MDSINE2	0.0	43.0	13949158942.805319	2085576509.9671578
2	0	MDSINE2	0.0	44.0	4577447381.711808	803000418.0685861
2	0	MDSINE2	0.0	45.0	6807308080.170375	737634871.2798028
2	0	MDSINE2	0.0	46.0	3276834385.736023	900129476.740073
2	0	MDSINE2	0.0	47.0	3398347144.1962514	1242776731.5184264
2	0	MDSINE2	0.0	48.0	5041712674.539484	1613481793.895131
2	0	MDSINE2	0.0	49.0	6868096009.10326	2087911997.939227
2	0	MDSINE2	0.0	50.0	5089930421.137322	2308837927.439982
2	0	MDSINE2	0.0	51.0	4620867770.654475	2332646538.8861713
2	0	MDSINE2	0.0	52.0	5643233608.702708	2674315208.00463
2	0	MDSINE2	0.0	53.0	17297834026.247066	3200855217.110324
2	0	MDSINE2	0.0	54.0	12742776363.55287	6296270314.912697
2	0	MDSINE2	0.0	55.0	8986046317.531515	6929588623.201885
2	0	MDSINE2	0.0	56.0	12564923637.68941	5683768380.188881
2	0	MDSINE2	0.0	57.0	8549509462.771696	5179675830.130682
2	0	MDSINE2	0.0	58.0	5069488217.462193	5060299491.171901
2	0	MDSINE2	0.0	59.0	14989430163.82094	4961820082.750345
2	0	MDSINE2	0.0	60.0	10471525268.731153	4903212192.074358
2	0	MDSINE2	0.0	61.0	13200517205.791883	4631477673.456114
2	0	MDSINE2	0.0	62.0	21757380723.802742	3178314771.2271285
2	0	MDSINE2	0.0	63.0	10482048362.602402	2722961932.338864
