"","m4_T1","m4_T2","m4_T3","m4_T4","m4_T5","m4_T6","m4_T7","m4_T8","m4_T9","m4_T10","m4_T11","m4_T12","m4_T13","m4_T14","m4_T15","m4_T16","m4_T17","m4_T18","m4_T19","m4_T20","m4_T21","m4_T22","m4_T23","m4_T24","m4_T25","m4_T26","m4_T27","m4_T28","m4_T29","m4_T30","m4_T31","m4_T32","m4_T33","m4_T34","m4_T35","m4_T36","m4_T37","m4_T38","m4_T39","m4_T40","m4_T41","m4_T42","m4_T43","m4_T44","m4_T45","m4_T46","m4_T47","m4_T48","m4_T49","m4_T50","m4_T51","m4_T52","m4_T53","m4_T54","m4_T55","m4_T56","m4_T57","m4_T58","m4_T59","m4_T60","m4_T61","m4_T62","m4_T63","m4_T64"
"ASV_1",-7.79040499013711,0.426075845956802,-2.74656438827515,-0.418428480625153,-3.10474324226379,-0.914834022521973,-2.24435925483704,-1.73527991771698,-2.56985139846802,-1.71180415153503,-2.03772115707397,-1.61904692649841,-2.03473806381226,-1.92032754421234,-2.27222585678101,-2.23711204528809,-2.33217716217041,-2.07411074638367,-1.91500306129456,-1.64311730861664,-1.52147328853607,-1.68376088142395,-1.71717739105225,-1.78843593597412,-1.8290491104126,-1.76702857017517,-1.67875146865845,-1.5604841709137,-1.20979535579681,-1.19352447986603,-1.21131861209869,-1.30940008163452,-1.44801819324493,-1.56106388568878,-1.64274787902832,-1.67576575279236,-1.67156779766083,-1.65276336669922,-1.63409292697906,-1.60729777812958,-1.57735204696655,-1.5544741153717,-1.54500317573547,-1.52614521980286,-1.4985488653183,-1.46743702888489,-1.44107377529144,-1.42691814899445,-1.42300653457642,-1.41935646533966,-1.4081826210022,-1.36636161804199,-1.30063390731812,-1.27088963985443,-1.28951013088226,-1.34589803218842,-1.41600716114044,-1.48517656326294,-1.55670583248138,-1.63184833526611,-1.66215419769287,-1.63816940784454,-1.57944810390472,-1.51475024223328
"ASV_2",-5.34028613938988,4.57486629486084,0.210867822170258,1.79365766048431,-2.39108848571777,-0.434878170490265,-2.30707097053528,-1.75148892402649,-3.73102974891663,-2.66181993484497,-2.6872181892395,-1.30710101127625,-1.5244996547699,-1.43977570533752,-2.30222058296204,-2.73246455192566,-3.43599510192871,-3.5633237361908,-3.6701340675354,-3.46597337722778,-3.48605823516846,-3.64225721359253,-3.95341086387634,-4.47391223907471,-5.06248235702515,-5.43737936019897,-5.60589027404785,-5.47070407867432,-5.24197721481323,-5.29602766036987,-5.42219734191895,-5.6221432685852,-5.85628938674927,-6.01346111297607,-6.1407880783081,-6.32127523422241,-6.60369205474854,-6.47494792938232,-6.1768970489502,-5.84753799438477,-5.59794235229492,-5.51792240142822,-5.44408988952637,-5.17970752716064,-5.20770168304443,-5.35594844818115,-5.55043029785156,-5.74592590332031,-5.89276027679443,-5.98760747909546,-6.25383901596069,-6.73663520812988,-6.9427080154419,-6.9859471321106,-6.96149206161499,-6.8949933052063,-6.82250595092773,-6.55127906799316,-5.98362684249878,-5.606369972229,-5.37030410766602,-5.23501396179199,-5.1958065032959,-5.21461725234985
"ASV_3",-3.22605087953622,1.06697487831116,-5.01780033111572,-1.96998190879822,-5.18186473846436,-5.39778280258179,-7.95465040206909,-6.79081726074219,-7.18881225585938,-6.3549542427063,-7.26374769210815,-7.19793701171875,-8.0331335067749,-8.1881799697876,-8.56161594390869,-8.41820049285889,-8.50614166259766,-8.47880935668945,-8.68059635162354,-8.81058216094971,-9.04201602935791,-9.49695491790771,-10.1595830917358,-10.6727876663208,-11.0165729522705,-11.2118167877197,-11.274133682251,-11.2933597564697,-11.1324234008789,-10.8905973434448,-10.8368186950684,-10.9211521148682,-10.9749450683594,-10.9937629699707,-10.937108039856,-10.8433332443237,-10.7074031829834,-10.3282451629639,-9.96855640411377,-9.76076984405518,-9.70795726776123,-9.71063327789307,-9.60508441925049,-9.48019218444824,-9.61412143707275,-9.82541370391846,-10.0199413299561,-10.1543807983398,-10.2409858703613,-10.3396406173706,-10.3521099090576,-10.4082021713257,-10.4810771942139,-10.5286569595337,-10.5661268234253,-10.6376457214355,-10.7175731658936,-10.8045511245728,-10.7322368621826,-10.5553731918335,-10.3722896575928,-10.1929063796997,-9.98155784606934,-9.7663106918335
"ASV_4",-2.53451626924717,-0.489870637655258,-2.93688058853149,0.38322302699089,-3.80885553359985,-2.93597054481506,-5.11359310150146,-3.72286248207092,-4.41360139846802,-3.29420137405396,-3.73828673362732,-3.11688756942749,-3.47423315048218,-3.16572165489197,-3.42271757125854,-3.20173811912537,-3.19468140602112,-2.81901168823242,-2.62669444084167,-2.36899280548096,-2.34398770332336,-2.64893770217896,-2.95277619361877,-3.15711855888367,-3.31913566589355,-3.37295532226562,-3.39073920249939,-3.39401865005493,-3.07922577857971,-2.89818596839905,-2.83894348144531,-2.87338423728943,-2.93641376495361,-2.95143866539001,-2.8617684841156,-2.72587490081787,-2.62589192390442,-2.54630160331726,-2.4723801612854,-2.41624569892883,-2.39037752151489,-2.40700554847717,-2.46246719360352,-2.51679062843323,-2.59125208854675,-2.70246601104736,-2.82310748100281,-2.91810083389282,-2.95981645584106,-2.95010137557983,-2.90051531791687,-2.82052946090698,-2.70179414749146,-2.53960371017456,-2.35901832580566,-2.21639251708984,-2.10561227798462,-2.01132321357727,-1.91176307201385,-1.82336521148682,-1.77833592891693,-1.78228032588959,-1.79843461513519,-1.83580505847931
"ASV_5",-4.16534766371863,-1.80009114742279,-3.56400203704834,-2.71967887878418,-4.91452074050903,-2.97274255752563,-3.98043036460876,-2.83811450004578,-3.33369946479797,-2.75391149520874,-3.23297071456909,-3.16812372207642,-3.6107223033905,-3.46876287460327,-3.623122215271,-3.51540231704712,-3.61382436752319,-3.51294040679932,-3.51792049407959,-3.4578685760498,-3.534255027771,-3.76138424873352,-3.7475471496582,-3.74735903739929,-3.69433522224426,-3.63901686668396,-3.60679173469543,-3.62979388237,-3.53687715530396,-3.75415468215942,-3.87833786010742,-3.98767328262329,-4.02243518829346,-4.04670095443726,-4.05662965774536,-4.08629465103149,-4.09170007705688,-4.09656953811646,-4.13151979446411,-4.14054298400879,-4.13374805450439,-4.13227701187134,-4.12828207015991,-4.1414532661438,-4.14964580535889,-4.12795257568359,-4.12730503082275,-4.14050817489624,-4.15209579467773,-4.17320442199707,-4.21091079711914,-4.22527599334717,-4.24945306777954,-4.33517408370972,-4.45367383956909,-4.58806943893433,-4.71347188949585,-4.82001638412476,-4.94546985626221,-5.06055116653442,-5.10579967498779,-5.09526252746582,-5.04013967514038,-4.96258687973022
"ASV_6",-3.08883249047242,1.36955404281616,-1.41597938537598,3.30401515960693,-1.5546680688858,-2.72718834877014,-5.22106885910034,-3.72225069999695,-4.92668294906616,-4.32882881164551,-5.29297542572021,-4.67669486999512,-5.28709173202515,-5.40797090530396,-6.15786075592041,-6.24391841888428,-6.42995405197144,-6.16078948974609,-6.1372561454773,-6.13054466247559,-6.43116903305054,-6.98382043838501,-7.56077432632446,-8.06163501739502,-8.54399871826172,-8.90024757385254,-9.18503379821777,-9.43982028961182,-9.40079212188721,-9.47149658203125,-9.64551544189453,-9.87033939361572,-10.0596904754639,-10.1222200393677,-9.97675132751465,-9.92579936981201,-9.74375152587891,-9.5218677520752,-9.18555736541748,-8.86848831176758,-8.63366889953613,-8.48809051513672,-8.29240322113037,-8.2385778427124,-8.20495510101318,-8.30912780761719,-8.47149276733398,-8.64130687713623,-8.79860496520996,-8.89390563964844,-8.84805488586426,-9.09889793395996,-9.36768245697021,-9.42118740081787,-9.38952732086182,-9.35556602478027,-9.28779888153076,-9.28046035766602,-8.90763473510742,-8.44176197052002,-8.16860485076904,-7.99890756607056,-7.86662197113037,-7.79968404769897
"ASV_7",-9.64899964164895,-3.53239631652832,-5.30836296081543,-0.226678803563118,-1.52997231483459,-1.68674170970917,-2.94244503974915,-1.8137800693512,-2.08668065071106,-2.12588143348694,-2.64783000946045,-2.37187671661377,-2.63626480102539,-2.90723204612732,-3.42016124725342,-3.58018660545349,-3.75369668006897,-3.7807788848877,-3.82096457481384,-3.71944999694824,-3.62152910232544,-3.52823877334595,-3.6095027923584,-3.69277095794678,-3.69745492935181,-3.63766312599182,-3.49593305587769,-3.34816670417786,-3.1744954586029,-2.92349362373352,-2.77883434295654,-2.8354160785675,-2.98854780197144,-3.20144987106323,-3.34388542175293,-3.44555830955505,-3.52428674697876,-3.59133958816528,-3.5633339881897,-3.54706501960754,-3.51710224151611,-3.49628663063049,-3.4715530872345,-3.43473529815674,-3.34817481040955,-3.31389808654785,-3.26146960258484,-3.2294909954071,-3.19146633148193,-3.14895486831665,-3.09582185745239,-2.98298645019531,-2.85112047195435,-2.75816035270691,-2.68691682815552,-2.66246891021729,-2.68534517288208,-2.7329421043396,-2.83639550209045,-2.93582081794739,-2.98601627349854,-3.02311563491821,-3.0333821773529,-3.01944017410278
"ASV_8",-1.95463927381704,-2.2295298576355,-3.59053993225098,-1.31893801689148,-2.62099933624268,-2.91645097732544,-3.94505572319031,-2.31219291687012,-2.25106573104858,-2.06738758087158,-2.89606332778931,-2.93624138832092,-3.26672720909119,-3.3217453956604,-3.57227325439453,-3.55451369285583,-3.68843913078308,-3.80085182189941,-4.07412576675415,-4.33070945739746,-4.6129584312439,-4.80182266235352,-4.96105289459229,-4.9925045967102,-4.99057197570801,-4.90260171890259,-4.83522653579712,-4.83159351348877,-4.84294939041138,-4.77977848052979,-4.73216342926025,-4.69708299636841,-4.74442958831787,-4.78642654418945,-4.75479888916016,-4.69864368438721,-4.6990475654602,-4.69217395782471,-4.72321557998657,-4.79919528961182,-4.86822032928467,-4.91627883911133,-4.94375371932983,-4.94616174697876,-4.98385286331177,-4.99737596511841,-4.97043037414551,-4.93602323532104,-4.88871622085571,-4.82256984710693,-4.64753770828247,-4.55676651000977,-4.48546361923218,-4.40970277786255,-4.32375192642212,-4.22076368331909,-4.12439727783203,-4.14186763763428,-4.0951132774353,-4.05138731002808,-4.03895235061646,-4.06217432022095,-4.12304067611694,-4.19708251953125
"ASV_9",-1.30268180447971,3.98824739456177,-9.80112266540527,-2.00573468208313,-8.3440637588501,-2.54340386390686,-6.57555723190308,-3.83430624008179,-7.36057043075562,-6.50469589233398,-9.0665693283081,-8.04409790039062,-8.71910858154297,-7.44746828079224,-7.30227661132812,-6.11926078796387,-5.99301195144653,-5.57661628723145,-5.83025312423706,-5.65211486816406,-5.52584028244019,-5.01968908309937,-4.60901594161987,-4.21019411087036,-4.36572408676147,-4.76580047607422,-5.43003034591675,-6.09972238540649,-6.6850152015686,-7.21481275558472,-7.65893888473511,-7.7107310295105,-7.56068229675293,-7.360107421875,-7.3127613067627,-7.31242990493774,-7.51859092712402,-7.62242221832275,-7.62232494354248,-7.63272285461426,-7.61831665039062,-7.48985815048218,-7.44592332839966,-7.27306032180786,-7.21951913833618,-7.25243663787842,-7.22791337966919,-7.16323804855347,-7.16842460632324,-7.2975549697876,-7.480544090271,-7.80093336105347,-8.14904594421387,-8.49351406097412,-8.86503791809082,-9.19519519805908,-9.4551944732666,-9.70946025848389,-9.82138442993164,-9.86082458496094,-9.87823104858398,-9.80213832855225,-9.65470886230469,-9.45097541809082
"ASV_10",-8.74205622120246,-0.172301977872849,-4.94331407546997,-2.20481371879578,-4.04675674438477,-2.28609871864319,-3.10458254814148,-2.27472615242004,-3.53005027770996,-3.16739058494568,-3.58492064476013,-3.25045990943909,-3.65784215927124,-3.457932472229,-3.44017910957336,-3.0907187461853,-3.10044288635254,-3.0108654499054,-3.06277322769165,-2.98608922958374,-2.96985125541687,-2.99043869972229,-2.87116265296936,-2.76378059387207,-2.72542238235474,-2.71077036857605,-2.76363754272461,-2.85823822021484,-2.84905195236206,-3.00671291351318,-3.10206532478333,-3.11797904968262,-3.08125782012939,-3.03028106689453,-2.99787163734436,-3.01085829734802,-3.01565408706665,-2.97054028511047,-2.95283460617065,-2.99248933792114,-3.04045581817627,-3.032790184021,-2.96746873855591,-2.90599942207336,-2.90281844139099,-2.89727544784546,-2.84645390510559,-2.77003049850464,-2.72153353691101,-2.71639490127563,-2.70892548561096,-2.707515001297,-2.70595860481262,-2.74632740020752,-2.80048489570618,-2.85941648483276,-2.89111757278442,-2.91547203063965,-2.93310236930847,-2.96801352500916,-2.98122191429138,-2.97528624534607,-2.93779397010803,-2.89928603172302
