"","m5_T1","m5_T2","m5_T3","m5_T4","m5_T5","m5_T6","m5_T7","m5_T8","m5_T9","m5_T10","m5_T11","m5_T12","m5_T13","m5_T14","m5_T15","m5_T16","m5_T17","m5_T18","m5_T19","m5_T20","m5_T21","m5_T22","m5_T23","m5_T24","m5_T25","m5_T26","m5_T27","m5_T28","m5_T29","m5_T30","m5_T31","m5_T32","m5_T33","m5_T34","m5_T35","m5_T36","m5_T37","m5_T38","m5_T39","m5_T40","m5_T41","m5_T42","m5_T43","m5_T44","m5_T45","m5_T46","m5_T47","m5_T48","m5_T49","m5_T50","m5_T51","m5_T52","m5_T53","m5_T54","m5_T55","m5_T56","m5_T57","m5_T58","m5_T59","m5_T60","m5_T61","m5_T62","m5_T63","m5_T64"
"ASV_1",-6.55530703582282,-0.0524489134550095,-3.97770214080811,0.409341514110565,-3.45867371559143,0.454524993896484,-3.6498236656189,-0.19915546476841,-3.58184766769409,-0.142249435186386,-3.63801622390747,-0.611284494400024,-3.78673529624939,-0.926016628742218,-3.88096523284912,-1.177490234375,-3.68214297294617,-1.01205098628998,-3.36232757568359,-0.937597334384918,-3.10686993598938,-0.929129779338837,-2.97977685928345,-0.898524582386017,-2.72315692901611,-0.694780647754669,-2.36007308959961,-0.511888027191162,-2.00126791000366,-0.357516318559647,-1.93907487392426,-0.561865091323853,-2.09219455718994,-0.806587874889374,-2.15038347244263,-0.937932252883911,-2.15767025947571,-1.07493007183075,-2.19964861869812,-1.18277847766876,-2.17301607131958,-1.21330213546753,-2.10014247894287,-1.20550966262817,-1.97517824172974,-1.13831996917725,-1.8578075170517,-1.11479866504669,-1.79111075401306,-1.11461520195007,-1.71635973453522,-1.09380292892456,-1.65863525867462,-1.1018590927124,-1.63286554813385,-1.17730498313904,-1.71226155757904,-1.32800507545471,-1.80423188209534,-1.42639172077179,-1.84657275676727,-1.50008165836334,-1.85342705249786,-1.50858902931213
"ASV_2",-6.83379451079506,1.46969985961914,-3.11942887306213,0.186515599489212,-2.01520347595215,1.73559558391571,-1.12953150272369,0.81578129529953,-2.33609580993652,0.453367948532104,-1.72529530525208,0.363889515399933,-1.67296350002289,0.883894324302673,-1.00455868244171,0.721301913261414,-1.3843754529953,0.417075127363205,-1.05037689208984,0.697874546051025,-0.816243469715118,0.412134051322937,-1.3583642244339,-0.651139974594116,-2.36746501922607,-1.57361459732056,-2.75594115257263,-1.77127480506897,-2.74340295791626,-2.02037525177002,-3.21330094337463,-2.85827302932739,-4.0477614402771,-3.53124165534973,-4.28829956054688,-3.68312668800354,-4.48074722290039,-3.83183932304382,-4.25149440765381,-3.44661426544189,-3.70787382125854,-2.96604800224304,-3.17856884002686,-2.39834523200989,-2.74507832527161,-2.39703345298767,-2.97966980934143,-2.87313222885132,-3.51929688453674,-3.3941330909729,-3.88219141960144,-3.69401502609253,-4.01783514022827,-3.69635486602783,-3.90153884887695,-3.57182765007019,-3.7632691860199,-3.4850583076477,-3.60398888587952,-3.25776505470276,-3.33889770507812,-3.02231478691101,-3.11524319648743,-2.83893632888794
"ASV_3",-3.48103471969242,2.78764009475708,-2.39979553222656,2.86552834510803,-3.16279315948486,1.4058108329773,-5.9029803276062,-1.21760666370392,-6.02399778366089,-0.830629408359528,-5.72003221511841,-1.36077272891998,-6.45231580734253,-2.70882725715637,-7.39938306808472,-3.52875971794128,-7.33352136611938,-3.42783164978027,-7.03997421264648,-3.68842005729675,-7.21512985229492,-4.44947528839111,-7.95182037353516,-5.19186401367188,-8.06179904937744,-5.21744680404663,-7.84651041030884,-5.46556663513184,-7.92392730712891,-5.69663190841675,-8.15969276428223,-6.39085531234741,-8.82943248748779,-7.24802684783936,-9.41329002380371,-7.81122016906738,-9.59263706207275,-7.768967628479,-9.12811756134033,-7.52049350738525,-8.89627170562744,-7.43144178390503,-8.60238170623779,-7.19922351837158,-8.43807506561279,-7.33331727981567,-8.43517589569092,-7.37208890914917,-8.41580200195312,-7.51817035675049,-8.53378391265869,-7.77847146987915,-8.83603858947754,-8.27954483032227,-9.23674964904785,-8.68035316467285,-9.56579113006592,-9.07848072052002,-9.79393768310547,-9.1455135345459,-9.58561420440674,-8.91643810272217,-9.28818702697754,-8.58805561065674
"ASV_4",-2.52968122224166,0.58321338891983,-4.30973720550537,0.244463786482811,-5.64843225479126,-0.874754011631012,-5.45907354354858,-0.967740893363953,-5.29894018173218,-0.850681781768799,-4.94710206985474,-1.05471611022949,-4.99055528640747,-1.26534199714661,-4.60377979278564,-0.982671499252319,-3.83243155479431,-0.276167452335358,-2.86596632003784,0.272028267383575,-2.31522679328918,0.203866347670555,-2.38702297210693,-0.0129016451537609,-2.34545564651489,-0.0727672129869461,-2.20864200592041,-0.216386824846268,-2.07361650466919,-0.252137959003448,-2.24266219139099,-0.7615767121315,-2.70493626594543,-1.29314029216766,-2.85156011581421,-1.34450352191925,-2.61390471458435,-1.13905012607574,-2.21755433082581,-0.834983587265015,-1.79965889453888,-0.537131905555725,-1.44381296634674,-0.340614259243011,-1.23383796215057,-0.323770105838776,-1.22749388217926,-0.47727307677269,-1.36896860599518,-0.71839028596878,-1.52776908874512,-0.936582446098328,-1.686727643013,-1.1449408531189,-1.79363667964935,-1.28269577026367,-1.86733961105347,-1.37530314922333,-1.81523001194,-1.24947452545166,-1.56081104278564,-1.01909339427948,-1.28655982017517,-0.776224255561829
"ASV_5",-3.81774366677383,-0.43925529718399,-5.03514385223389,0.569398045539856,-6.13241863250732,-0.337622195482254,-5.78256225585938,-0.084097258746624,-5.60662078857422,-0.165073052048683,-5.44003629684448,-0.617389738559723,-5.54117059707642,-0.910928845405579,-5.40888595581055,-1.23671352863312,-5.44834804534912,-1.59235990047455,-5.42047834396362,-1.86279022693634,-5.35929584503174,-2.03263521194458,-5.20283460617065,-2.14055562019348,-5.08429479598999,-2.31082320213318,-4.99995040893555,-2.44908356666565,-4.87753772735596,-2.52265405654907,-4.78650236129761,-2.58051013946533,-4.63309001922607,-2.61995363235474,-4.51489400863647,-2.75207495689392,-4.5387806892395,-2.94924020767212,-4.59788274765015,-3.13876938819885,-4.59280061721802,-3.25348496437073,-4.59517383575439,-3.39371919631958,-4.6160101890564,-3.46709132194519,-4.5512170791626,-3.49619817733765,-4.47256088256836,-3.48956036567688,-4.38819980621338,-3.52957677841187,-4.36630010604858,-3.5644428730011,-4.32535982131958,-3.63479161262512,-4.35131454467773,-3.71716332435608,-4.35832643508911,-3.82013583183289,-4.47396993637085,-4.02843189239502,-4.59893751144409,-4.16201591491699
"ASV_6",-2.60527288001629,2.64088082313538,-3.20987606048584,2.35759949684143,-3.76225018501282,1.89253127574921,-4.34511232376099,1.26868093013763,-5.02919721603394,0.223881185054779,-5.19284152984619,-0.263361543416977,-5.55046463012695,-1.17658674716949,-5.95129489898682,-1.66970384120941,-5.85706949234009,-1.7583612203598,-5.47097969055176,-1.77576267719269,-5.36571550369263,-2.35753321647644,-5.89103984832764,-3.20244073867798,-6.43106031417847,-3.83220815658569,-6.68732595443726,-4.38893032073975,-7.09731006622314,-5.21573686599731,-7.9318962097168,-6.28613042831421,-8.83579730987549,-7.26006555557251,-9.44081115722656,-7.82740592956543,-9.66158771514893,-7.9884443283081,-9.39873027801514,-7.70123338699341,-8.90222644805908,-7.33740901947021,-8.43279266357422,-7.01368427276611,-8.09713935852051,-6.9810094833374,-8.13668823242188,-7.23039150238037,-8.34399032592773,-7.51709794998169,-8.50661087036133,-7.77858686447144,-8.71240711212158,-8.05477428436279,-8.92640972137451,-8.36830997467041,-9.18448352813721,-8.67176628112793,-9.32412242889404,-8.7346248626709,-9.22301197052002,-8.57787704467773,-8.90658378601074,-8.2315502166748
"ASV_7",-13.8155105579643,-3.10258150100708,-6.08698272705078,0.736064255237579,-3.76509380340576,-1.18059992790222,-4.33704519271851,0.0420311167836189,-3.85090208053589,-0.72906881570816,-3.73820900917053,-0.470501840114594,-4.0921459197998,-1.81693136692047,-4.81912040710449,-2.05824065208435,-4.56145477294922,-2.22731471061707,-4.50873422622681,-2.33652901649475,-4.50004291534424,-2.72280359268188,-4.73675727844238,-2.97824430465698,-4.60932397842407,-2.85775375366211,-4.17836475372314,-2.52558326721191,-3.73977589607239,-2.25940322875977,-3.50885510444641,-2.26087045669556,-3.56665658950806,-2.5407292842865,-3.689936876297,-2.57670640945435,-3.59578633308411,-2.69240832328796,-3.67643737792969,-2.88776874542236,-3.78804993629456,-3.0587432384491,-3.88762044906616,-3.14007592201233,-3.74532699584961,-3.05551362037659,-3.65610146522522,-3.07429623603821,-3.65139508247375,-3.10356831550598,-3.60246539115906,-3.05617499351501,-3.43059849739075,-2.90330743789673,-3.258465051651,-2.81052184104919,-3.18698716163635,-2.81291389465332,-3.20672583580017,-2.92853021621704,-3.27654600143433,-3.00633835792542,-3.33651638031006,-3.11477041244507
"ASV_8",-1.69933999940123,-1.46372878551483,-2.46963691711426,-0.451454043388367,-2.92155957221985,-2.05449748039246,-3.51473212242126,-0.633405089378357,-2.62541341781616,-1.28589200973511,-2.92283034324646,-1.17657375335693,-3.09315609931946,-1.89111757278442,-3.42722201347351,-1.90366876125336,-3.11462759971619,-1.99654340744019,-3.31079864501953,-2.42181205749512,-3.74470067024231,-2.96909260749817,-4.13004112243652,-3.30903339385986,-4.22244501113892,-3.49231624603271,-4.34833002090454,-3.74445652961731,-4.61997318267822,-3.9948673248291,-4.6886568069458,-4.01501941680908,-4.64084005355835,-4.10750389099121,-4.6741361618042,-4.08518886566162,-4.50197315216064,-3.88367295265198,-4.26669883728027,-3.84134769439697,-4.28682041168213,-3.9089846611023,-4.31069850921631,-3.95886731147766,-4.39714479446411,-4.15466499328613,-4.52552127838135,-4.26917695999146,-4.60464763641357,-4.36700487136841,-4.56050491333008,-4.29521369934082,-4.49531364440918,-4.23581409454346,-4.43524408340454,-4.19446325302124,-4.33713054656982,-4.1749153137207,-4.3240237236023,-4.1257004737854,-4.22641706466675,-3.98511838912964,-4.06463956832886,-3.89558601379395
"ASV_9",-1.51624902270677,7.42389488220215,-8.78476428985596,4.12584495544434,-8.40620803833008,2.4883759021759,-8.46719169616699,0.856838881969452,-10.1560697555542,-1.90759670734406,-11.6446046829224,-2.83839273452759,-10.6113443374634,-2.00074315071106,-9.55053424835205,-1.80229794979095,-9.16128730773926,-2.15387797355652,-8.87383556365967,-2.00999069213867,-7.63153648376465,-0.827732443809509,-5.98200130462646,0.054910596460104,-5.18166303634644,-0.31500256061554,-5.64963579177856,-1.39513838291168,-6.30024290084839,-2.26600480079651,-6.62657165527344,-2.8983268737793,-6.76967763900757,-3.28722882270813,-7.00990581512451,-3.8607656955719,-7.28598594665527,-4.44746112823486,-7.39123344421387,-4.68514585494995,-7.19097757339478,-4.53640699386597,-6.86589574813843,-4.49535655975342,-6.54028797149658,-4.32253932952881,-6.06046342849731,-3.99284315109253,-5.69412469863892,-3.99016404151917,-5.54980325698853,-4.21843385696411,-6.08393907546997,-5.08058261871338,-6.79937028884888,-5.76194190979004,-7.16849613189697,-6.34419250488281,-7.55795526504517,-6.5043306350708,-7.48548316955566,-6.48861026763916,-7.3686261177063,-6.431565284729
"ASV_10",-7.52601341420955,-0.827402472496033,-5.07245206832886,-0.687608599662781,-4.35949802398682,-0.102769091725349,-4.23630905151367,-0.656687796115875,-4.58025884628296,-1.09162282943726,-4.44437837600708,-1.22528970241547,-4.54965543746948,-1.41557109355927,-4.27829456329346,-1.3976548910141,-4.1132116317749,-1.46083283424377,-3.9226541519165,-1.49354863166809,-3.81672239303589,-1.52263462543488,-3.57457256317139,-1.40878331661224,-3.27242541313171,-1.33748412132263,-3.1227707862854,-1.43207585811615,-3.14854788780212,-1.58443212509155,-3.12632298469543,-1.67877340316772,-3.12053656578064,-1.84461307525635,-3.19388484954834,-2.05279445648193,-3.26444792747498,-2.17412400245667,-3.23792123794556,-2.27316451072693,-3.29904890060425,-2.41655778884888,-3.29204702377319,-2.4316565990448,-3.22165870666504,-2.4504885673523,-3.15782999992371,-2.40882229804993,-3.03919577598572,-2.3632538318634,-2.93486642837524,-2.36613321304321,-2.95638823509216,-2.45550394058228,-2.98794984817505,-2.53643274307251,-3.04857277870178,-2.69379115104675,-3.15284323692322,-2.78687405586243,-3.19381165504456,-2.86519074440002,-3.22179841995239,-2.88571739196777
"ASV_11",-3.23445487619404,0.268333256244659,-5.23232746124268,0.2065439671278,-6.07943677902222,-1.22615814208984,-6.36328363418579,-1.43936049938202,-6.27759742736816,-1.22457456588745,-6.0015606880188,-1.79618561267853,-6.4200267791748,-2.48292779922485,-6.42120456695557,-2.59245562553406,-5.66139936447144,-1.75842893123627,-4.45481157302856,-1.12248158454895,-3.87191033363342,-1.36561465263367,-4.18199968338013,-1.76808834075928,-4.16503477096558,-1.73229455947876,-3.79852056503296,-1.67447280883789,-3.37970066070557,-1.41919708251953,-3.44595050811768,-1.91122472286224,-3.99011659622192,-2.55757856369019,-4.18364906311035,-2.63651442527771,-3.96727108955383,-2.45694065093994,-3.54199242591858,-2.10555624961853,-3.05752897262573,-1.75057542324066,-2.67363357543945,-1.55360281467438,-2.48138952255249,-1.57389199733734,-2.49608755111694,-1.72415924072266,-2.62376761436462,-1.9473363161087,-2.75882124900818,-2.15125179290771,-2.85518288612366,-2.25609803199768,-2.92183661460876,-2.43673086166382,-3.07276844978333,-2.58775973320007,-3.04575729370117,-2.52719950675964,-2.89013957977295,-2.33133363723755,-2.56258463859558,-2.00028920173645
"ASV_12",-8.37084007338586,0.334858447313309,-4.63814496994019,0.520805716514587,-4.49588537216187,-0.351941823959351,-4.84910297393799,-1.01850461959839,-4.80072069168091,-1.03252387046814,-4.73400926589966,-1.19799757003784,-4.52230167388916,-1.24315929412842,-4.40074443817139,-1.33741748332977,-4.24658584594727,-1.40942335128784,-4.16450023651123,-1.52318477630615,-4.02476453781128,-1.52124857902527,-3.84688401222229,-1.53701174259186,-3.74107480049133,-1.69316124916077,-3.76241850852966,-1.8896735906601,-3.7771360874176,-2.00248622894287,-3.7285475730896,-2.06992816925049,-3.62020301818848,-2.12001609802246,-3.56254768371582,-2.21738719940186,-3.53147912025452,-2.26234912872314,-3.46086239814758,-2.30756616592407,-3.38271355628967,-2.31624841690063,-3.28665709495544,-2.34405708312988,-3.27621293067932,-2.39813590049744,-3.20226955413818,-2.38214898109436,-3.11401987075806,-2.38203907012939,-3.07673692703247,-2.43097829818726,-3.06895065307617,-2.48720002174377,-3.07923412322998,-2.55325222015381,-3.07488107681274,-2.56824851036072,-3.025310754776,-2.57380747795105,-2.99489665031433,-2.57117366790771,-2.93351340293884,-2.54290151596069
