"","m3_T1","m3_T2","m3_T3","m3_T4","m3_T5","m3_T6","m3_T7","m3_T8","m3_T9","m3_T10","m3_T11","m3_T12","m3_T13","m3_T14","m3_T15","m3_T16","m3_T17","m3_T18","m3_T19","m3_T20","m3_T21","m3_T22","m3_T23","m3_T24","m3_T25","m3_T26","m3_T27","m3_T28","m3_T29","m3_T30","m3_T31","m3_T32","m3_T33","m3_T34","m3_T35","m3_T36","m3_T37","m3_T38","m3_T39","m3_T40","m3_T41","m3_T42","m3_T43","m3_T44","m3_T45","m3_T46","m3_T47","m3_T48","m3_T49","m3_T50","m3_T51","m3_T52","m3_T53","m3_T54","m3_T55","m3_T56","m3_T57","m3_T58","m3_T59","m3_T60","m3_T61","m3_T62","m3_T63","m3_T64"
"ASV_1",-7.40983562786525,-4.20032079185035,-4.16574144228331,-3.47361809751712,-3.47966987038865,-3.70374067353333,-3.72234450389624,-3.47152367297364,-4.00780469648629,-3.87661770395588,-3.91690222405153,-3.6912243607231,-3.46554649739468,-3.23986863406625,-2.98968293751146,-2.73949724095666,-2.57645169738483,-2.413406153813,-2.52785088598016,-2.64229561814733,-2.75674035031449,-3.59690174810699,-4.48318776909086,-5.12575337836695,-4.42734898814686,-4.4991623536749,-4.57097571920294,-4.64278908473099,-2.94624365337766,-2.38984032188075,-2.60059331347601,-2.5148563975839,-2.50174592580802,-2.56217956018447,-2.62261319456091,-2.36299394812677,-1.96178508350365,-1.7136513241993,-1.52231909309903,-1.85628523307382,-2.19025137304861,-2.52421751302339,-2.42797850784217,-1.59152618661956,-1.26395484070768,-1.2705121568376,-1.40526014434451,-1.17125506673855,-0.937249989132592,-0.703244911526634,-0.412248720470821,-0.573240056192999,-0.678197656907678,-2.24822162133232,-2.03532695371588,-1.82243228609944,-1.609537618483,-1.13930245018416,-1.18584783622394,-1.24654076490294,-1.78725686105907,-1.74631868386603,-2.19106729960927,-2.22232950649814
"ASV_2",-4.8086768866407,-3.5403442289117,-2.05903147861859,-2.13480691905887,-2.05927528682709,-2.48311337435735,-2.5147960908106,-3.96241358783049,-2.33450288726891,-2.05822025305858,-1.96300747530756,-1.95548714066467,-1.94796680602179,-1.9404464713789,-1.98928604919725,-2.0381256270156,-1.98220899916902,-1.92629237132243,-1.94683060652174,-1.96736884172105,-1.98790707692036,-1.04511337653087,-0.870512231593504,-0.701837240318331,-0.807946143735161,-0.981004524876519,-1.15406290601788,-1.32712128715923,-1.24221202603641,-1.81018491275051,-1.65352165896545,-1.82312411224235,-1.82034417467284,-2.02273777193777,-2.2251313692027,-2.24921722025379,-2.65657597501024,-1.9023262289142,-2.75360714084595,-3.87142622076539,-4.98924530068484,-6.10706438060428,-8.38844802844002,-7.31102786539094,-3.50862818387491,-3.33784583126496,-1.82641408067462,-1.80501732685782,-1.78362057304102,-1.76222381922423,-4.87099125345413,-3.37114424786888,-6.1999132021712,-7.98187169136474,-8.37287961507004,-8.76388753877534,-9.15489546248064,-13.8155105579643,-8.82888212060191,-8.49264386602008,-1.85136778841722,-1.43520112326885,-1.53679129975398,-1.67387055954162
"ASV_3",-2.8782746788489,-1.95031944162404,-1.92879264424209,-1.9829303845983,-1.63371025272262,-1.4567981243914,-1.55661323855647,-1.63590881520082,-1.9044563623751,-1.86229740233425,-1.90802685643548,-1.72105729311619,-1.5340877297969,-1.34711816647761,-1.44981287176579,-1.55250757705396,-1.71254626871944,-1.87258496038492,-1.74822196082742,-1.62385896126993,-1.49949596171243,-3.15339014827375,-5.0599523468605,-6.22402912189643,-6.92037597236877,-7.33990475902918,-7.75943354568958,-8.17896233234999,-5.95910078213995,-4.69232721393374,-4.56914871881693,-4.65406235184058,-4.90532672793124,-5.40660499583974,-5.90788326374824,-5.58293959699146,-6.11733908030744,-6.45427113634896,-6.84285443115016,-7.0887029287504,-7.33455142635063,-7.58039992395087,-9.29816642061368,-8.18440339428678,-7.10505935822204,-7.41067010914708,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-8.73226454801859,-13.8155105579643,-8.93271022325541,-10.560310334825,-12.1879104463947,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643
"ASV_4",-2.03981037368304,-1.75179717624109,-2.21268181310313,-2.11072058999585,-2.32848808908491,-2.68948825954869,-3.25293524148883,-2.8249574470974,-3.01402798433501,-2.56960492915172,-2.54189521789253,-2.68626698435683,-2.83063875082112,-2.97501051728542,-2.99081318196438,-3.00661584664334,-3.09783580822873,-3.18905576981412,-3.44303438294658,-3.69701299607903,-3.95099160921148,-5.16193729009783,-7.10364878820168,-7.00696032123216,-7.05636047208334,-7.17115257023157,-7.2859446683798,-7.40073676652803,-4.07563290571955,-2.37715152145456,-2.21534613923705,-2.0850380781042,-1.99194359553684,-1.97617675716098,-1.96040991878513,-1.79512487004546,-1.52900151886925,-2.09265401658173,-2.05038892511595,-1.94645810598411,-1.84252728685228,-1.73859646772044,-2.32673537456177,-1.84851100791645,-1.95323650642734,-1.90139760039998,-2.0630120857333,-2.60485448403045,-3.1466968823276,-3.68853928062475,-4.78947485905202,-4.12188797603192,-5.30792822236537,-5.23144567281317,-5.61803566800587,-6.00462566319857,-6.39121565839127,-3.83150850000207,-2.775194066546,-2.32373823601439,-2.31112421691356,-2.15246133880806,-1.95443391883985,-1.79999859912904
"ASV_5",-3.88999372734475,-2.97269304049572,-3.10433303234408,-3.94442668626854,-4.51509403325002,-4.72368290539004,-5.11968623085527,-5.25739265504641,-5.79426559211838,-5.43835353609531,-5.42714537362954,-5.31877450395892,-5.21040363428831,-5.1020327646177,-4.80674303939894,-4.51145331418019,-4.48875156595684,-4.4660498177335,-4.47469553768106,-4.48334125762862,-4.49198697757618,-3.8277884988948,-4.69863035132725,-5.06199715702808,-3.6604604702426,-3.64227811407864,-3.62409575791469,-3.60591340175074,-2.91261572923838,-3.42789273017669,-3.92191092353822,-4.32854836497758,-4.57585136236608,-4.37264051708622,-4.16942967180635,-4.05421314925473,-4.30212306264614,-4.54031907082471,-4.01052350961326,-4.26701724986432,-4.52351099011537,-4.78000473036643,-3.66013133567115,-3.21261611450527,-3.67010352535049,-3.29597453874441,-3.87457525443168,-4.23894214625549,-4.6033090380793,-4.96767592990312,-4.01936531545172,-3.76466674709988,-4.67571733761553,-3.61240161034815,-3.98874704203479,-4.36509247372142,-4.74143790540805,-3.37889257219408,-3.72732584019998,-4.46026189146628,-4.20291034757557,-5.62594248287184,-4.85396959775789,-4.58637866845423
"ASV_6",-2.41614431294248,-2.15185317042578,-2.00321474805376,-1.69860275444211,-1.84156293337568,-1.72212728772176,-1.799348453608,-1.75005004448908,-2.24764991148891,-2.06804640746672,-2.08265238201352,-2.13536333978966,-2.1880742975658,-2.24078525534193,-2.15482472780527,-2.0688642002686,-2.0085284213159,-1.94819264236319,-2.02004772519511,-2.09190280802704,-2.16375789085896,-3.14329855462013,-4.88421359082783,-5.51278979055183,-4.5604395549733,-4.7572633354057,-4.9540871158381,-5.15091089627049,-4.35193528404965,-4.58177584651245,-4.20837359880622,-4.26323001778417,-3.21652393125941,-2.93163332326502,-2.64674271527064,-3.20506809110213,-4.13854518775722,-4.54488833725976,-4.32538349123809,-3.77348630654994,-3.22158912186179,-2.66969193717364,-2.88872445909898,-3.21815615685869,-3.82866828049173,-3.92175362317683,-3.97870058012172,-5.0541849417758,-6.12966930342987,-7.20515366508395,-8.4772239530381,-9.28724129904753,-9.57035901407893,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-10.0281507737372,-13.8155105579643,-13.8155105579643
"ASV_7",-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-6.32893500188154,-3.09336731646415,-2.52957381404009,-2.55448627251176,-2.32135729288904,-3.44788148426736,-2.57159875340735,-2.55249741399734,-2.53339607458733,-2.51429473517732,-2.65299980466499,-2.79170487415266,-2.79080634559957,-2.78990781704648,-2.60969776135504,-2.42948770566359,-2.24927764997214,-4.19549285221389,-5.04825813945953,-5.25281599981603,-5.24495297918357,-5.05134231552579,-4.857731651868,-4.66412098821022,-3.442393095288,-3.08585837414167,-2.72594729218503,-2.8951675577432,-2.41682910943025,-2.43049680690318,-2.44416450437611,-1.83832068845189,-3.42384646132172,-5.96663242860539,-6.34564146849899,-5.9664724563512,-5.58730344420341,-5.20813443205562,-4.0233499671162,-4.50152795602287,-6.66366174145348,-6.72594832054385,-3.05666420769772,-2.91218340281391,-2.76770259793011,-2.6232217930463,-2.83506245437122,-3.52118753121101,-3.13588388983419,-2.12664209248628,-2.21132396076692,-2.29600582904756,-2.3806876973282,-2.10121607005759,-2.05921935920377,-2.23476206914186,-2.20901671565091,-2.83986191190654,-2.26391435622488,-2.53707497233422
"ASV_8",-4.86800883313316,-5.19715536303447,-3.64703887420394,-2.67078215818882,-3.13230456494591,-2.93698611984252,-2.38057454471153,-2.09778363441907,-2.10027011024605,-1.97664607889032,-2.07614784242919,-2.55855100373657,-3.04095416504395,-3.52335732635133,-3.03043864901469,-2.53751997167806,-2.62659401283239,-2.71566805398672,-2.68879838403232,-2.66192871407793,-2.63505904412354,-2.15237991383246,-2.1710374616351,-2.44708957589651,-2.6520590626643,-2.67158277089491,-2.69110647912553,-2.71063018735615,-2.05118978339166,-2.10938116604087,-2.20664862082775,-2.36514154660645,-2.55861460816967,-2.47811721930477,-2.39761983043988,-2.81129097685324,-4.71507327935427,-5.74103926019929,-6.5391044767877,-5.58631068271963,-4.63351688865155,-3.68072309458348,-2.40012891799386,-4.38347652472852,-6.32741336255859,-5.65365939019264,-6.17989502767218,-6.16377199946002,-6.14764897124787,-6.13152594303572,-6.45702049739405,-5.19941563095588,-4.58411341383575,-5.83987874913263,-5.63521076113988,-5.43054277314713,-5.22587478515438,-4.12314163583419,-4.33362854112641,-3.70308179515642,-4.04127897826213,-4.2671701825787,-4.30944554189313,-4.19197101832826
"ASV_9",-1.49483349230102,-2.27883517813675,-2.84157354834466,-3.74359403816296,-4.60287699505415,-5.39830489176365,-6.10148537988363,-7.58718258756108,-6.97030600299245,-6.85194485711212,-7.24000992276519,-7.65765040614863,-8.07529088953208,-8.49293137291553,-11.1542209654399,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-9.21589060597912,-13.8155105579643,-13.8155105579643,-13.8155105579643,-12.3666014215965,-10.9176922852287,-9.46878314886097,-10.5457057119515,-9.61185663630723,-6.48505264491162,-13.8155105579643,-13.8155105579643,-10.5957273604347,-7.37594416290507,-8.07044865166797,-2.82267041278649,-1.99779874098411,-2.10620128227758,-1.89292853598133,-1.67965578968508,-1.46638304338883,-1.56956278224628,-2.40231375586125,-2.31213183363786,-2.54933357919399,-4.38063354502723,-5.1426617972102,-5.90469004939317,-6.66671830157613,-6.45702049739405,-5.17078893186076,-3.84817708715362,-5.06065731446733,-5.28380683838737,-5.50695636230742,-5.73010588622746,-8.61589055317429,-13.8155105579643,-13.8155105579643,-13.8155105579643,-9.12554647806512,-13.8155105579643,-13.8155105579643
"ASV_10",-7.66067812330788,-5.42442815210963,-4.12683892766739,-4.3907436417121,-4.47311009529597,-4.45478965609816,-4.54369334019369,-4.54174378255552,-5.44296501695077,-5.20317678779884,-5.3714687907016,-5.15089322178753,-4.93031765287347,-4.70974208395941,-4.68579881436789,-4.66185554477638,-4.54683755958572,-4.43181957439507,-4.51636378377687,-4.60090799315868,-4.68545220254048,-4.34009280114838,-4.14297221235207,-4.62242930207334,-4.61507332478829,-4.40355057786923,-4.19202783095017,-3.98050508403111,-4.13550901465568,-4.57695702972911,-4.82142117193599,-4.76668310738073,-4.91312298158547,-4.72981143830865,-4.54649989503183,-3.80905115562048,-3.37057717822762,-2.7908002671825,-2.33104430086537,-2.45556543035781,-2.58008655985025,-2.70460768934269,-2.42183573736884,-2.63153865677419,-2.34011322725422,-1.97075317155202,-2.33665756416484,-2.70215898116188,-3.06766039815892,-3.43316181515597,-3.68032358698406,-2.06608116055849,-1.83546756046584,-1.7987470142069,-2.01576953444332,-2.23279205467974,-2.44981457491616,-2.85442632127091,-3.39762498906458,-3.19254829378945,-3.76452482254779,-3.87723229153613,-4.00567955323582,-4.0888367424288
