"","m5_T1","m5_T2","m5_T3","m5_T4","m5_T5","m5_T6","m5_T7","m5_T8","m5_T9","m5_T10","m5_T11","m5_T12","m5_T13","m5_T14","m5_T15","m5_T16","m5_T17","m5_T18","m5_T19","m5_T20","m5_T21","m5_T22","m5_T23","m5_T24","m5_T25","m5_T26","m5_T27","m5_T28","m5_T29","m5_T30","m5_T31","m5_T32","m5_T33","m5_T34","m5_T35","m5_T36","m5_T37","m5_T38","m5_T39","m5_T40","m5_T41","m5_T42","m5_T43","m5_T44","m5_T45","m5_T46","m5_T47","m5_T48","m5_T49","m5_T50","m5_T51","m5_T52","m5_T53","m5_T54","m5_T55","m5_T56","m5_T57","m5_T58","m5_T59","m5_T60","m5_T61","m5_T62","m5_T63","m5_T64"
"ASV_1",-6.55530703582282,-4.65187462927735,-4.50598993724943,-3.92034717732524,-3.5516711641658,-3.63683022669843,-3.62023296939614,-3.41350666929978,-2.87631755356321,-2.79514033788416,-2.6843131654175,-2.70695292184639,-2.72959267827528,-2.75223243470417,-2.53199980914195,-2.31176718357973,-2.22195648349719,-2.13214578341465,-2.17217975883564,-2.21221373425664,-2.25224770967763,-3.75374589105933,-9.84803234088854,-4.76338891769636,-5.10014446056296,-4.84113048119203,-4.58211650182111,-4.32310252245019,-2.80951372942034,-2.02459596368269,-2.01908689637037,-0.939736136666092,-0.812018632910989,-0.772193742645857,-0.732368852380724,-2.23935293300059,-2.91233847760586,-2.29073002983715,-3.11017425212182,-3.16072776240523,-3.21128127268864,-3.26183478297206,-2.77660250369208,-1.75844888803505,-1.75752443862763,-1.23325973036359,-1.13557937139293,-1.15071417711064,-1.16584898282835,-1.18098378854606,-1.34090972476404,-1.40192541447406,-1.33105080771379,-1.4926678645272,-1.66541002579885,-1.8381521870705,-2.01089434834215,-1.34012481064077,-1.26919235336548,-1.05136976422445,-1.24560924786213,-1.64428763249553,-2.13406442467856,-2.18230887281813
"ASV_2",-6.83379451079506,-2.23536079686673,-1.5243517971927,-2.01617339219501,-1.85546655839328,-2.87089493836806,-1.76118944616725,-2.15090691722972,-1.87188355588125,-1.58286993495095,-1.75369190806538,-1.66152225703328,-1.56935260600118,-1.47718295496907,-1.75992658760043,-2.04267022023178,-1.87587018567654,-1.70907015112131,-1.75400269527601,-1.79893523943071,-1.84386778358541,-0.733495136285755,-7.7852853325865,-0.814792109114246,-0.892712350049038,-0.809940855848936,-0.727169361648835,-0.644397867448733,-1.41094742229971,-2.32687416271783,-1.714584070827,-2.66526201330102,-3.07577456357818,-2.88188978044903,-2.68800499731988,-2.87574705270358,-3.94083939634746,-1.99867909183864,-2.6466045003526,-4.12750382909384,-5.60840315783509,-7.08930248657634,-8.63617909400907,-8.97657129719113,-1.68752400789311,-2.8660750960768,-2.265840475387,-2.52504088231362,-2.78424128924023,-3.04344169616685,-3.82516077824324,-4.93110517326167,-6.94522731096853,-9.922804300149,-9.20359048839481,-8.48437667664062,-7.76516286488643,-10.4189061150429,-9.51099190414533,-9.39848116042262,-3.27846633568322,-2.46811075974421,-1.28958181691582,-2.95497887219324
"ASV_3",-3.48103471969242,-2.24194862946156,-1.83018287023087,-1.41170680293278,-1.54760386068773,-1.44454650659472,-1.28008655225781,-1.57479523526459,-1.99283299893661,-2.46152327109444,-3.54264095157355,-3.9799358687725,-4.41723078597145,-4.85452570317041,-5.16758440987493,-5.48064311657945,-5.5434748107475,-5.60630650491554,-5.84958777913561,-6.09286905335568,-6.33615032757574,-7.61568497676632,-7.5964580658794,-9.4421647979106,-8.71662065342749,-8.69862238460498,-8.68062411578247,-8.66262584695996,-6.98814461849851,-4.72292577592402,-4.64399216732472,-6.72488617146449,-7.97128788064449,-10.8933992193044,-13.8155105579643,-9.15816725478236,-13.8155105579643,-9.88924073766607,-13.8155105579643,-11.9318539920326,-10.0481974261009,-8.16454086016916,-13.8155105579643,-5.76532331850363,-8.43738977848488,-5.58594988742913,-4.47528282548055,-4.44784539058085,-4.42040795568115,-4.39297052078146,-4.55794189960364,-4.54698225324606,-6.02955968295973,-13.8155105579643,-11.9623872178869,-10.1092638778096,-8.25614053773224,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643
"ASV_4",-2.52968122224166,-1.76920639127062,-2.40188785024851,-2.95404394758653,-3.62136767082015,-3.4257947932494,-4.77459258552311,-4.47905487831658,-3.44554702877882,-2.74356770609383,-2.0992402957695,-2.05457983199554,-2.00991936822157,-1.96525890444761,-1.75935811875017,-1.55345733305274,-1.6387861196212,-1.72411490618965,-1.72902914063426,-1.73394337507887,-1.73885760952348,-3.51683801904526,-3.27178332757884,-6.22222894546611,-6.73598486333329,-6.9782262912134,-7.22046771909351,-7.46270914697362,-4.04473283832524,-2.10958850471344,-2.27894027949861,-3.9109608720208,-5.08571493577891,-5.54721249662159,-6.00871005746427,-5.79320740621961,-4.68224068519742,-5.11595619954992,-3.92066332059457,-3.58668174112549,-3.2527001616564,-2.91871858218731,-3.43109612621053,-3.01886398114687,-3.37497210513739,-3.06318208454472,-2.63664347306877,-2.45899027446407,-2.28133707585937,-2.10368387725467,-2.05147699513931,-1.90132545616947,-3.65569552426655,-2.79977109447976,-2.82459277600271,-2.84941445752567,-2.87423613904863,-2.87429185715513,-2.65348584629515,-2.36832777762873,-2.05304621522986,-2.0545305241956,-1.97472620185207,-1.68221969397564
"ASV_5",-3.81774366677383,-3.26728351029581,-3.26166435834221,-3.62805444212264,-4.09852645450383,-4.78408112534269,-5.04798538374719,-5.14647594380321,-5.66480830969936,-5.4057512647348,-5.24399865763263,-5.26827028892665,-5.29254192022066,-5.31681355151467,-5.29482342625755,-5.27283330100044,-5.51473992065016,-5.75664654029987,-5.47704112172164,-5.19743570314341,-4.91783028456518,-5.55999433412434,-13.8155105579643,-4.0009037016541,-3.33038692377473,-3.56805644791508,-3.80572597205543,-4.04339549619577,-3.0536184425662,-3.59763729249296,-3.52710067817922,-1.74692202626333,-1.66669228207742,-1.88436946489264,-2.10204664770787,-0.70762977978582,-0.555943518932167,-0.996319682989153,-0.859163534628922,-0.986336900690723,-1.11351026675252,-1.24068363281432,-1.02499350746804,-0.999575899086648,-1.41558602895768,-1.56389133222197,-2.24567753295771,-2.57883833764803,-2.91199914233835,-3.24515994702866,-4.8246629752827,-5.13430219676387,-6.06838305969761,-3.31864849676113,-2.98578466736148,-2.65292083796182,-2.32005700856216,-1.77722628778943,-1.85136185484155,-2.82374671685159,-3.61741357435047,-4.86080652355034,-5.22876936595338,-5.02291378793199
"ASV_6",-2.60527288001629,-2.20642870665586,-2.24906141983241,-1.81756688734211,-1.67899616497291,-1.79720092794569,-2.1942315505239,-2.2132531962698,-2.46286906586226,-2.6301984470843,-2.32929231067454,-2.62509240323001,-2.92089249578548,-3.21669258834095,-3.44859642739633,-3.68050026645171,-4.0910534390143,-4.50160661157689,-4.12746264033555,-3.75331866909421,-3.37917469785287,-4.05982940576638,-9.01160540570164,-4.56691798076119,-5.360172541693,-5.70649512136174,-6.05281770103048,-6.39914028069923,-4.04271070828979,-3.68521013993917,-4.16591925092944,-7.13644144666724,-8.2217750553599,-11.0186428066621,-13.8155105579643,-8.97742889147129,-13.8155105579643,-13.8155105579643,-8.55470902734585,-8.80980280649726,-9.06489658564867,-9.31999036480008,-13.8155105579643,-8.39230881083946,-13.8155105579643,-8.00253295102702,-5.16940301208226,-5.00324913043954,-4.83709524879683,-4.67094136715411,-4.11458154213465,-3.14426182069301,-4.68986537974101,-13.8155105579643,-11.4520854717486,-9.08866038553292,-6.72523529931724,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-6.56311801329994,-4.45202394288855,-3.62254922290695
"ASV_7",-13.8155105579643,-7.74071909420476,-9.12959872509181,-8.89957945999622,-8.10474103102418,-2.5894132055753,-2.36019745228493,-2.4856683350015,-3.04641137802113,-2.70841574921564,-2.51536122004168,-2.68674523853504,-2.85812925702841,-3.02951327552177,-3.10961579856396,-3.18971832160614,-3.08895886386204,-2.98819940611794,-3.02453222321402,-3.06086504031009,-3.09719785740617,-5.23557028983316,-3.94908543860753,-6.29024692870817,-7.11207751551592,-6.27990954865332,-5.44774158179071,-4.61557361492811,-2.38020914553531,-3.88323904191532,-3.0594636236864,-3.24185968957467,-2.8499869679204,-3.08208539741031,-3.31418382690021,-2.69750927310793,-3.98162594228123,-5.001265313619,-5.08683023882449,-5.34007135204014,-5.59331246525578,-5.84655357847143,-7.10016883448252,-8.02594279794694,-7.10579613403767,-6.25373774799825,-5.30321258041283,-5.12182131961973,-4.94043005882664,-4.75903879803354,-4.64952991891244,-3.63979050787593,-2.3180204186932,-2.76065734890824,-2.67156225809872,-2.5824671672892,-2.49337207647969,-3.49448509361722,-2.66286566657034,-2.57973720074068,-2.37197096172124,-2.41970942724806,-2.5448099038648,-2.26909200952561
"ASV_8",-1.69933999940123,-4.4506328911056,-3.832534135639,-2.71105823815636,-2.44774336364234,-2.27373254704467,-2.51363361700702,-2.22852570941702,-2.32952335838952,-2.45818366552952,-2.31888991417717,-2.22651551768103,-2.13414112118488,-2.04176672468874,-2.35021801303958,-2.65866930139042,-2.61832592557964,-2.57798254976886,-2.58994063074378,-2.6018987117187,-2.61385679269362,-2.50153491525073,-1.94535022761458,-2.92104655021898,-2.6005499258716,-2.81419786731001,-3.02784580874842,-3.24149375018683,-2.02530143744742,-1.71777655195855,-2.18031556438816,-4.86483739668967,-5.54292233173545,-6.08737376795167,-6.63182520416789,-6.17149294408246,-5.86822899814285,-6.10204543638282,-6.2880428968288,-5.84338063615507,-5.39871837548134,-4.95405611480761,-6.72734222156822,-6.00858168162227,-7.10579613403767,-6.12233866262714,-6.33344109511762,-6.54249481294735,-6.75154853077709,-6.96060224860682,-7.07062519271033,-5.46508987630444,-5.98305855532246,-7.23396826563984,-6.99933696977706,-6.76470567391428,-6.53007437805151,-5.58516549045192,-6.20386824415157,-4.72376185881648,-3.24286243003941,-3.40116738211215,-3.88724496182042,-3.42028614967592
"ASV_9",-1.51624902270677,-2.34527976607835,-2.67084216318084,-3.83888353866449,-4.55766798972734,-6.4243442409636,-6.46574411614493,-5.77810281988599,-3.73269387309177,-4.4224166146594,-5.68291089730868,-5.43019868396385,-5.17748647061901,-4.92477425727418,-9.37014240761923,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-13.8155105579643,-7.77848600240326,-7.89338121633836,-7.78487952465497,-7.67637783297159,-7.5678761412882,-9.54017330154738,-13.8155105579643,-8.69852702861866,-13.8155105579643,-10.1456041843231,-9.1206200489551,-8.0956359135871,-2.98808189589374,-1.61444683406947,-1.54518579898273,-1.34523564337766,-1.34829264889728,-1.35134965441691,-1.35440665993653,-1.5802969921603,-2.80324361950593,-2.26406322036188,-2.76401504952813,-3.10751598482181,-3.16002503241576,-3.2125340800097,-3.26504312760365,-2.46015533691385,-3.01362483787979,-2.74084743398496,-3.18296632863766,-3.0559594760206,-2.92895262340354,-2.80194577078648,-4.30870643963595,-5.15076038192213,-8.15437702476514,-9.26630115120182,-9.06070517633268,-9.07563049095297,-13.8155105579643
"ASV_10",-7.52601341420955,-5.98312650499634,-5.65426801576054,-5.48196711212849,-5.07181360087899,-4.78849561438635,-4.61772872873105,-4.51205821669115,-4.85888040412558,-5.10444990823565,-4.83017310336928,-4.87680975957876,-4.92344641578824,-4.97008307199772,-4.79639372484288,-4.62270437768804,-4.57289403170328,-4.52308368571852,-4.53854410714882,-4.55400452857911,-4.56946495000941,-3.89354705059531,-13.8155105579643,-4.05512639409947,-4.27666390755922,-4.41295089884093,-4.54923789012264,-4.68552488140435,-4.3097148259582,-4.66484378700802,-5.69198104197183,-7.30683314033796,-7.86621706548773,-5.61336032932232,-3.36050359315691,-3.28101819694875,-4.05681915756453,-4.15334893425684,-4.68700286474341,-4.02953402675368,-3.37206518876394,-2.71459635077421,-2.27725753505729,-1.80734059959172,-2.27827142867397,-1.86010839481407,-2.30925015731198,-2.32962742081729,-2.3500046843226,-2.37038194782792,-2.28047972764313,-2.6197762862491,-3.01208852359753,-2.30664298505441,-2.31723212006055,-2.32782125506668,-2.33841039007282,-2.42027029585287,-3.64123081650488,-3.38835880562637,-3.13058088672391,-3.83020859857797,-4.14987123939429,-3.43379945281329
